path,size_bytes,status,mode,bad_member,error
paper/current_2026_09_16/NiyamTrace-X_ELSEVIER_21_PUBLISHED_REFERENCES_FINAL_SOURCE.zip,805298,PASS,testzip,,
paper/current_2026_09_16/NiyamTrace-X_ELSEVIER_AUTHORS_RESULTS_FINAL_SOURCE.zip,29078,PASS,testzip,,
paper/current_2026_09_16/NiyamTrace-X_Frontiers_AI_COMPLETE_SUBMISSION_PACKAGE.zip,4385476,PASS,testzip,,
paper/current_2026_09_16/NiyamTrace-X_Frontiers_AI_OVERLEAF_SUBMISSION_SOURCE.zip,1306998,PASS,testzip,,
paper/current_2026_09_16/NiyamTrace-X_Frontiers_AI_SUBMISSION_FIGURES_300DPI.zip,1260465,PASS,testzip,,
paper/current_2026_09_16/NiyamTrace-X_Frontiers_UPDATED_with_Springer_Visuals_CompletePackage.zip,5336048,PASS,testzip,,
paper/current_2026_09_16/NiyamTrace-X_Frontiers_UPDATED_with_Springer_Visuals_Figures.zip,2257513,PASS,testzip,,
paper/current_2026_09_16/NiyamTrace-X_Frontiers_UPDATED_with_Springer_Visuals_Overleaf.zip,2298912,PASS,testzip,,
paper/current_2026_09_16/NiyamTrace-X_IEEE_21_PUBLISHED_REFERENCES_FINAL_SOURCE.zip,867668,PASS,testzip,,
paper/current_2026_09_16/NiyamTrace-X_IEEE_AUTHORS_RESULTS_FINAL_SOURCE.zip,29057,PASS,testzip,,
paper/current_2026_09_16/NiyamTrace-X_SPRINGER_21_PUBLISHED_REFERENCES_FINAL_SOURCE.zip,1387853,PASS,testzip,,
paper/current_2026_09_16/NiyamTrace-X_SPRINGER_AUTHORS_RESULTS_FINAL_SOURCE.zip,32299,PASS,testzip,,
paper/current_2026_09_16/latest_sources/NiyamTrace-X_ELSEVIER_REVIEWER_HARDENED_SOURCE.zip,864626,PASS,testzip,,
paper/current_2026_09_16/latest_sources/NiyamTrace-X_IEEE_REVIEWER_HARDENED_SOURCE.zip,956161,PASS,testzip,,
paper/current_2026_09_16/latest_sources/NiyamTrace-X_SPRINGER_REVIEWER_HARDENED_SOURCE.zip,1405594,PASS,testzip,,
paper/source_archives/NiyamTrace-X_ELSEVIER_AUDITED_SOURCE.zip,864009,PASS,testzip,,
paper/source_archives/NiyamTrace-X_IEEE_AUDITED_SOURCE.zip,951441,PASS,testzip,,
paper/source_archives/NiyamTrace-X_SPRINGER_AUDITED_SOURCE.zip,1163743,PASS,testzip,,
results/external_validation/14_FINAL_VALIDATION_QUICK_RUN_RESULTS.zip,22145,PASS,testzip,,
results/external_validation/15_PAPER_FINISHER_OUTPUT_ARCHIVE.zip,4098622,PASS,testzip,,
results/external_validation/EXTERNAL_ONLY_QUICK_RUN_1_RESULTS.zip,28776,PASS,testzip,,
results/external_validation/EXTERNAL_V2_FIXED_QUICK_RUN_RESULTS.zip,53559,PASS,testzip,,
results/external_validation/MASTER_RUN_CONFIGURED_RESULTS.zip,297893,PASS,testzip,,
results/external_validation/MASTER_RUN_EARLY_RESULTS.zip,281659,PASS,testzip,,
results/external_validation/TARGETED_RECOVERY_RESULTS.zip,18544,PASS,testzip,,
results/extracted/merged_recovery_package/recovery_addition/user_uploaded_recovery_package.zip,18544,PASS,testzip,,
results/final_merged/NTX_RESULTS_MERGED_WITH_RECOVERY.zip,320972,PASS,testzip,,
results/final_merged/NTX_RESULTS_MERGED_WITH_RECOVERY_latest_copy.zip,320972,PASS,testzip,,
results/frozen_evidence/NiyamTrace-X_Frozen_Raw_Evidence_Recovered.zip,279674,PASS,testzip,,
results/frozen_evidence/NiyamTrace-X_Frozen_Runtime_Source.zip,19047,PASS,testzip,,
results/post_2026_09_14_raw_archives/5d87c92b-c8dd-49ef-8fc2-0c0279ebf722.zip,356072,PASS,testzip,,
results/post_2026_09_14_raw_archives/614b5cee-279b-461b-a443-8f111d695ae3.zip,24372,PASS,testzip,,
results/post_2026_09_14_raw_archives/NTX_FINAL_3FAMILY_PART1_GRANITE_QWEN_RESULTS(1).zip,362223,PASS,testzip,,
results/post_2026_09_14_raw_archives/NTX_FINAL_3FAMILY_PART2_STANDALONE_RESULTS.zip,21820,PASS,testzip,,
results/post_2026_09_14_raw_archives/NTX_Q1_01_Anchor_Stress_RESULTS.zip,489543,PASS,testzip,,
results/post_2026_09_14_raw_archives/NTX_Q1_02_SIL_IIEA_ABLATION_RESULTS.zip,1592559,PASS,testzip,,
results/post_2026_09_14_raw_archives/NTX_Q1_03_EXECUTION_BROKER_RESULTS(1).zip,105568,PASS,testzip,,
results/post_2026_09_14_raw_archives/NTX_Q1_03_EXECUTION_BROKER_RESULTS.zip,105568,PASS,testzip,,
results/post_2026_09_14_raw_archives/NTX_Q1_04_STATS_REPRO_RESULTS(1).zip,163748,PASS,testzip,,
results/post_2026_09_14_raw_archives/NTX_Q1_04_STATS_REPRO_RESULTS.zip,163748,PASS,testzip,,
results/post_2026_09_14_raw_archives/NTX_Q1_05_FROZEN_RUNTIME_ABLATION_RESULTS.zip,147418,PASS,testzip,,
results/post_2026_09_14_raw_archives/NTX_Q1_06_METAMORPHIC_ATTACK_LAB_RESULTS.zip,436787,PASS,testzip,,
results/post_2026_09_14_raw_archives/NTX_Q1_07_VERIFIED_EXECUTION_BROKER_V2_RESULTS.zip,223326,PASS,testzip,,
results/post_2026_09_14_raw_archives/NTX_Q1_08_RISK_CALIBRATED_AUTHORIZATION_RESULTS.zip,145416,PASS,testzip,,
results/post_2026_09_14_raw_archives/b5e852f0-ab0d-4987-9ce1-994de1cda052.zip,70639,PASS,testzip,,
results/stage_results/01_Anchor_Stress_RESULTS.zip,489543,PASS,testzip,,
results/stage_results/02_SIL_IIEA_ABLATION_RESULTS.zip,1592559,PASS,testzip,,
results/stage_results/03_EXECUTION_BROKER_V1_RESULTS.zip,105568,PASS,testzip,,
results/stage_results/04_STATS_REPRO_RESULTS.zip,163748,PASS,testzip,,
results/stage_results/05_FROZEN_RUNTIME_ABLATION_RESULTS.zip,147418,PASS,testzip,,
results/stage_results/06_METAMORPHIC_ATTACK_LAB_RESULTS.zip,436787,PASS,testzip,,
results/stage_results/07_VERIFIED_EXECUTION_BROKER_V2_RESULTS.zip,223326,PASS,testzip,,
results/stage_results/08_RISK_CALIBRATED_AUTHORIZATION_RESULTS.zip,145416,PASS,testzip,,
results/stage_results/09_ANCHOR_LOCK_V3_RESULTS.zip,238373,PASS,testzip,,
results/stage_results/10_BFCL_MLCL_EXTERNAL_RESULTS.zip,3730,PASS,testzip,,
results/stage_results/11_AGENTDOJO_AGENTSAFETYBENCH_RESULTS.zip,11592,PASS,testzip,,
results/stage_results/12_TAU3_STATEFUL_TRANSFER_RESULTS.zip,49689,PASS,testzip,,
results/stage_results/13_UNIFIED_MULTIBENCHMARK_META_RESULTS.zip,92871,PASS,testzip,,
results/stage_results/WAVE3_MASTER_ALL_FIVE_STAGES_RESULTS.zip,281671,PASS,testzip,,
