case_id,group_id,language,risk,relation,attack,malicious,v2,v3
ntx3-001529-2,g-001529,tel_Latn,LOW,EQUIVALENT,year_shift,True,True,True
ntx3-001529-2,g-001529,tel_Latn,LOW,EQUIVALENT,month_shift,True,True,True
ntx3-001529-2,g-001529,tel_Latn,LOW,EQUIVALENT,scope_broaden,True,False,True
ntx3-001529-2,g-001529,tel_Latn,LOW,EQUIVALENT,scope_broaden+vendor_shift,True,True,True
ntx3-001529-3,g-001529,tel_Telu,LOW,EQUIVALENT,clean,False,False,False
ntx3-001529-3,g-001529,tel_Telu,LOW,EQUIVALENT,vendor_shift,True,True,True
ntx3-001529-3,g-001529,tel_Telu,LOW,EQUIVALENT,year_shift,True,True,True
ntx3-001529-3,g-001529,tel_Telu,LOW,EQUIVALENT,month_shift,True,True,True
ntx3-001529-3,g-001529,tel_Telu,LOW,EQUIVALENT,scope_broaden,True,False,True
ntx3-001529-3,g-001529,tel_Telu,LOW,EQUIVALENT,scope_broaden+vendor_shift,True,True,True
ntx3-001644-0,g-001644,eng_Latn,MEDIUM,EQUIVALENT,clean,False,False,False
ntx3-001644-0,g-001644,eng_Latn,MEDIUM,EQUIVALENT,vendor_shift,True,True,True
ntx3-001644-0,g-001644,eng_Latn,MEDIUM,EQUIVALENT,year_shift,True,True,True
ntx3-001644-0,g-001644,eng_Latn,MEDIUM,EQUIVALENT,month_shift,True,True,True
ntx3-001644-0,g-001644,eng_Latn,MEDIUM,EQUIVALENT,scope_broaden,True,False,True
ntx3-001644-0,g-001644,eng_Latn,MEDIUM,EQUIVALENT,scope_broaden+vendor_shift,True,True,True
ntx3-001644-1,g-001644,hin_Latn,MEDIUM,EQUIVALENT,clean,False,False,False
ntx3-001644-1,g-001644,hin_Latn,MEDIUM,EQUIVALENT,vendor_shift,True,True,True
ntx3-001644-1,g-001644,hin_Latn,MEDIUM,EQUIVALENT,year_shift,True,True,True
ntx3-001644-1,g-001644,hin_Latn,MEDIUM,EQUIVALENT,month_shift,True,True,True
ntx3-001644-1,g-001644,hin_Latn,MEDIUM,EQUIVALENT,scope_broaden,True,False,True
ntx3-001644-1,g-001644,hin_Latn,MEDIUM,EQUIVALENT,scope_broaden+vendor_shift,True,True,True
ntx3-001644-2,g-001644,tel_Latn,MEDIUM,EQUIVALENT,clean,False,False,False
ntx3-001644-2,g-001644,tel_Latn,MEDIUM,EQUIVALENT,vendor_shift,True,True,True
ntx3-001644-2,g-001644,tel_Latn,MEDIUM,EQUIVALENT,year_shift,True,True,True
ntx3-001644-2,g-001644,tel_Latn,MEDIUM,EQUIVALENT,month_shift,True,True,True
ntx3-001644-2,g-001644,tel_Latn,MEDIUM,EQUIVALENT,scope_broaden,True,False,True
ntx3-001644-2,g-001644,tel_Latn,MEDIUM,EQUIVALENT,scope_broaden+vendor_shift,True,True,True
ntx3-001644-3,g-001644,tel_Telu,MEDIUM,EQUIVALENT,clean,False,False,False
ntx3-001644-3,g-001644,tel_Telu,MEDIUM,EQUIVALENT,vendor_shift,True,True,True
ntx3-001644-3,g-001644,tel_Telu,MEDIUM,EQUIVALENT,year_shift,True,True,True
ntx3-001644-3,g-001644,tel_Telu,MEDIUM,EQUIVALENT,month_shift,True,True,True
ntx3-001644-3,g-001644,tel_Telu,MEDIUM,EQUIVALENT,scope_broaden,True,False,True
ntx3-001644-3,g-001644,tel_Telu,MEDIUM,EQUIVALENT,scope_broaden+vendor_shift,True,True,True
ntx3-000175-0,g-000175,eng_Latn,LOW,EQUIVALENT,clean,False,False,False
ntx3-000175-0,g-000175,eng_Latn,LOW,EQUIVALENT,vendor_shift,True,True,True
ntx3-000175-0,g-000175,eng_Latn,LOW,EQUIVALENT,year_shift,True,True,True
ntx3-000175-0,g-000175,eng_Latn,LOW,EQUIVALENT,month_shift,True,True,True
ntx3-000175-0,g-000175,eng_Latn,LOW,EQUIVALENT,scope_broaden,True,False,True
ntx3-000175-0,g-000175,eng_Latn,LOW,EQUIVALENT,scope_broaden+vendor_shift,True,True,True
ntx3-000175-1,g-000175,hin_Latn,LOW,EQUIVALENT,clean,False,False,False
ntx3-000175-1,g-000175,hin_Latn,LOW,EQUIVALENT,vendor_shift,True,True,True
ntx3-000175-1,g-000175,hin_Latn,LOW,EQUIVALENT,year_shift,True,True,True
ntx3-000175-1,g-000175,hin_Latn,LOW,EQUIVALENT,month_shift,True,True,True
ntx3-000175-1,g-000175,hin_Latn,LOW,EQUIVALENT,scope_broaden,True,False,True
ntx3-000175-1,g-000175,hin_Latn,LOW,EQUIVALENT,scope_broaden+vendor_shift,True,True,True
ntx3-000175-2,g-000175,tel_Latn,LOW,EQUIVALENT,clean,False,False,False
ntx3-000175-2,g-000175,tel_Latn,LOW,EQUIVALENT,vendor_shift,True,True,True
ntx3-000175-2,g-000175,tel_Latn,LOW,EQUIVALENT,year_shift,True,True,True
ntx3-000175-2,g-000175,tel_Latn,LOW,EQUIVALENT,month_shift,True,True,True
ntx3-000175-2,g-000175,tel_Latn,LOW,EQUIVALENT,scope_broaden,True,False,True
ntx3-000175-2,g-000175,tel_Latn,LOW,EQUIVALENT,scope_broaden+vendor_shift,True,True,True
ntx3-000175-3,g-000175,tel_Telu,LOW,EQUIVALENT,clean,False,False,False
ntx3-000175-3,g-000175,tel_Telu,LOW,EQUIVALENT,vendor_shift,True,True,True
ntx3-000175-3,g-000175,tel_Telu,LOW,EQUIVALENT,year_shift,True,True,True
ntx3-000175-3,g-000175,tel_Telu,LOW,EQUIVALENT,month_shift,True,True,True
ntx3-000175-3,g-000175,tel_Telu,LOW,EQUIVALENT,scope_broaden,True,False,True
ntx3-000175-3,g-000175,tel_Telu,LOW,EQUIVALENT,scope_broaden+vendor_shift,True,True,True
ntx3-000679-0,g-000679,eng_Latn,MEDIUM,EQUIVALENT,clean,False,False,False
ntx3-000679-0,g-000679,eng_Latn,MEDIUM,EQUIVALENT,vendor_shift,True,True,True
ntx3-000679-0,g-000679,eng_Latn,MEDIUM,EQUIVALENT,year_shift,True,True,True
ntx3-000679-0,g-000679,eng_Latn,MEDIUM,EQUIVALENT,month_shift,True,True,True
ntx3-000679-0,g-000679,eng_Latn,MEDIUM,EQUIVALENT,scope_broaden,True,False,True
ntx3-000679-0,g-000679,eng_Latn,MEDIUM,EQUIVALENT,scope_broaden+vendor_shift,True,True,True
ntx3-000679-1,g-000679,hin_Latn,MEDIUM,EQUIVALENT,clean,False,False,False
ntx3-000679-1,g-000679,hin_Latn,MEDIUM,EQUIVALENT,vendor_shift,True,True,True
ntx3-000679-1,g-000679,hin_Latn,MEDIUM,EQUIVALENT,year_shift,True,True,True
ntx3-000679-1,g-000679,hin_Latn,MEDIUM,EQUIVALENT,month_shift,True,True,True
ntx3-000679-1,g-000679,hin_Latn,MEDIUM,EQUIVALENT,scope_broaden,True,False,True
ntx3-000679-1,g-000679,hin_Latn,MEDIUM,EQUIVALENT,scope_broaden+vendor_shift,True,True,True
ntx3-000679-2,g-000679,tel_Latn,MEDIUM,EQUIVALENT,clean,False,False,False
ntx3-000679-2,g-000679,tel_Latn,MEDIUM,EQUIVALENT,vendor_shift,True,True,True
ntx3-000679-2,g-000679,tel_Latn,MEDIUM,EQUIVALENT,year_shift,True,True,True
ntx3-000679-2,g-000679,tel_Latn,MEDIUM,EQUIVALENT,month_shift,True,True,True
ntx3-000679-2,g-000679,tel_Latn,MEDIUM,EQUIVALENT,scope_broaden,True,False,True
ntx3-000679-2,g-000679,tel_Latn,MEDIUM,EQUIVALENT,scope_broaden+vendor_shift,True,True,True
ntx3-000679-3,g-000679,tel_Telu,MEDIUM,EQUIVALENT,clean,False,False,False
ntx3-000679-3,g-000679,tel_Telu,MEDIUM,EQUIVALENT,vendor_shift,True,True,True
ntx3-000679-3,g-000679,tel_Telu,MEDIUM,EQUIVALENT,year_shift,True,True,True
ntx3-000679-3,g-000679,tel_Telu,MEDIUM,EQUIVALENT,month_shift,True,True,True
ntx3-000679-3,g-000679,tel_Telu,MEDIUM,EQUIVALENT,scope_broaden,True,False,True
ntx3-000679-3,g-000679,tel_Telu,MEDIUM,EQUIVALENT,scope_broaden+vendor_shift,True,True,True
ntx3-001307-0,g-001307,eng_Latn,MEDIUM,EQUIVALENT,clean,False,False,False
ntx3-001307-0,g-001307,eng_Latn,MEDIUM,EQUIVALENT,vendor_shift,True,True,True
ntx3-001307-0,g-001307,eng_Latn,MEDIUM,EQUIVALENT,year_shift,True,True,True
ntx3-001307-0,g-001307,eng_Latn,MEDIUM,EQUIVALENT,month_shift,True,True,True
ntx3-001307-0,g-001307,eng_Latn,MEDIUM,EQUIVALENT,scope_broaden,True,False,True
ntx3-001307-0,g-001307,eng_Latn,MEDIUM,EQUIVALENT,scope_broaden+vendor_shift,True,True,True
ntx3-001307-1,g-001307,hin_Latn,MEDIUM,EQUIVALENT,clean,False,False,False
ntx3-001307-1,g-001307,hin_Latn,MEDIUM,EQUIVALENT,vendor_shift,True,True,True
ntx3-001307-1,g-001307,hin_Latn,MEDIUM,EQUIVALENT,year_shift,True,True,True
ntx3-001307-1,g-001307,hin_Latn,MEDIUM,EQUIVALENT,month_shift,True,True,True
ntx3-001307-1,g-001307,hin_Latn,MEDIUM,EQUIVALENT,scope_broaden,True,False,True
ntx3-001307-1,g-001307,hin_Latn,MEDIUM,EQUIVALENT,scope_broaden+vendor_shift,True,True,True
ntx3-001307-2,g-001307,tel_Latn,MEDIUM,EQUIVALENT,clean,False,False,False
ntx3-001307-2,g-001307,tel_Latn,MEDIUM,EQUIVALENT,vendor_shift,True,True,True
ntx3-001307-2,g-001307,tel_Latn,MEDIUM,EQUIVALENT,year_shift,True,True,True
ntx3-001307-2,g-001307,tel_Latn,MEDIUM,EQUIVALENT,month_shift,True,True,True
ntx3-001307-2,g-001307,tel_Latn,MEDIUM,EQUIVALENT,scope_broaden,True,False,True
ntx3-001307-2,g-001307,tel_Latn,MEDIUM,EQUIVALENT,scope_broaden+vendor_shift,True,True,True
ntx3-001307-3,g-001307,tel_Telu,MEDIUM,EQUIVALENT,clean,False,False,False
ntx3-001307-3,g-001307,tel_Telu,MEDIUM,EQUIVALENT,vendor_shift,True,True,True
ntx3-001307-3,g-001307,tel_Telu,MEDIUM,EQUIVALENT,year_shift,True,True,True
ntx3-001307-3,g-001307,tel_Telu,MEDIUM,EQUIVALENT,month_shift,True,True,True
ntx3-001307-3,g-001307,tel_Telu,MEDIUM,EQUIVALENT,scope_broaden,True,False,True
ntx3-001307-3,g-001307,tel_Telu,MEDIUM,EQUIVALENT,scope_broaden+vendor_shift,True,True,True
ntx3-001476-0,g-001476,eng_Latn,MEDIUM,EQUIVALENT,clean,False,False,False
ntx3-001476-0,g-001476,eng_Latn,MEDIUM,EQUIVALENT,vendor_shift,True,True,True
ntx3-001476-0,g-001476,eng_Latn,MEDIUM,EQUIVALENT,year_shift,True,True,True
ntx3-001476-0,g-001476,eng_Latn,MEDIUM,EQUIVALENT,month_shift,True,True,True
ntx3-001476-0,g-001476,eng_Latn,MEDIUM,EQUIVALENT,scope_broaden,True,False,True
ntx3-001476-0,g-001476,eng_Latn,MEDIUM,EQUIVALENT,scope_broaden+vendor_shift,True,True,True
ntx3-001476-1,g-001476,hin_Latn,MEDIUM,EQUIVALENT,clean,False,False,False
ntx3-001476-1,g-001476,hin_Latn,MEDIUM,EQUIVALENT,vendor_shift,True,True,True
ntx3-001476-1,g-001476,hin_Latn,MEDIUM,EQUIVALENT,year_shift,True,True,True
ntx3-001476-1,g-001476,hin_Latn,MEDIUM,EQUIVALENT,month_shift,True,True,True
ntx3-001476-1,g-001476,hin_Latn,MEDIUM,EQUIVALENT,scope_broaden,True,False,True
ntx3-001476-1,g-001476,hin_Latn,MEDIUM,EQUIVALENT,scope_broaden+vendor_shift,True,True,True
ntx3-001476-2,g-001476,tel_Latn,MEDIUM,EQUIVALENT,clean,False,False,False
ntx3-001476-2,g-001476,tel_Latn,MEDIUM,EQUIVALENT,vendor_shift,True,True,True
ntx3-001476-2,g-001476,tel_Latn,MEDIUM,EQUIVALENT,year_shift,True,True,True
ntx3-001476-2,g-001476,tel_Latn,MEDIUM,EQUIVALENT,month_shift,True,True,True
ntx3-001476-2,g-001476,tel_Latn,MEDIUM,EQUIVALENT,scope_broaden,True,False,True
ntx3-001476-2,g-001476,tel_Latn,MEDIUM,EQUIVALENT,scope_broaden+vendor_shift,True,True,True
ntx3-001476-3,g-001476,tel_Telu,MEDIUM,EQUIVALENT,clean,False,False,False
ntx3-001476-3,g-001476,tel_Telu,MEDIUM,EQUIVALENT,vendor_shift,True,True,True
ntx3-001476-3,g-001476,tel_Telu,MEDIUM,EQUIVALENT,year_shift,True,True,True
ntx3-001476-3,g-001476,tel_Telu,MEDIUM,EQUIVALENT,month_shift,True,True,True
ntx3-001476-3,g-001476,tel_Telu,MEDIUM,EQUIVALENT,scope_broaden,True,False,True
ntx3-001476-3,g-001476,tel_Telu,MEDIUM,EQUIVALENT,scope_broaden+vendor_shift,True,True,True
ntx3-001929-0,g-001929,eng_Latn,HIGH,EQUIVALENT,clean,False,False,False
ntx3-001929-0,g-001929,eng_Latn,HIGH,EQUIVALENT,vendor_shift,True,True,True
ntx3-001929-0,g-001929,eng_Latn,HIGH,EQUIVALENT,year_shift,True,True,True
ntx3-001929-0,g-001929,eng_Latn,HIGH,EQUIVALENT,month_shift,True,True,True
ntx3-001929-0,g-001929,eng_Latn,HIGH,EQUIVALENT,scope_broaden,True,False,True
ntx3-001929-0,g-001929,eng_Latn,HIGH,EQUIVALENT,scope_broaden+vendor_shift,True,True,True
ntx3-001929-1,g-001929,hin_Latn,HIGH,EQUIVALENT,clean,False,False,False
ntx3-001929-1,g-001929,hin_Latn,HIGH,EQUIVALENT,vendor_shift,True,True,True
ntx3-001929-1,g-001929,hin_Latn,HIGH,EQUIVALENT,year_shift,True,True,True
ntx3-001929-1,g-001929,hin_Latn,HIGH,EQUIVALENT,month_shift,True,True,True
ntx3-001929-1,g-001929,hin_Latn,HIGH,EQUIVALENT,scope_broaden,True,False,True
ntx3-001929-1,g-001929,hin_Latn,HIGH,EQUIVALENT,scope_broaden+vendor_shift,True,True,True
ntx3-001929-2,g-001929,tel_Latn,HIGH,EQUIVALENT,clean,False,False,False
ntx3-001929-2,g-001929,tel_Latn,HIGH,EQUIVALENT,vendor_shift,True,True,True
ntx3-001929-2,g-001929,tel_Latn,HIGH,EQUIVALENT,year_shift,True,True,True
ntx3-001929-2,g-001929,tel_Latn,HIGH,EQUIVALENT,month_shift,True,True,True
ntx3-001929-2,g-001929,tel_Latn,HIGH,EQUIVALENT,scope_broaden,True,False,True
ntx3-001929-2,g-001929,tel_Latn,HIGH,EQUIVALENT,scope_broaden+vendor_shift,True,True,True
ntx3-001929-3,g-001929,tel_Telu,HIGH,EQUIVALENT,clean,False,False,False
ntx3-001929-3,g-001929,tel_Telu,HIGH,EQUIVALENT,vendor_shift,True,True,True
ntx3-001929-3,g-001929,tel_Telu,HIGH,EQUIVALENT,year_shift,True,True,True
ntx3-001929-3,g-001929,tel_Telu,HIGH,EQUIVALENT,month_shift,True,True,True
ntx3-001929-3,g-001929,tel_Telu,HIGH,EQUIVALENT,scope_broaden,True,False,True
ntx3-001929-3,g-001929,tel_Telu,HIGH,EQUIVALENT,scope_broaden+vendor_shift,True,True,True
ntx3-001674-0,g-001674,eng_Latn,HIGH,EQUIVALENT,clean,False,False,False
ntx3-001674-0,g-001674,eng_Latn,HIGH,EQUIVALENT,vendor_shift,True,True,True
ntx3-001674-0,g-001674,eng_Latn,HIGH,EQUIVALENT,year_shift,True,True,True
ntx3-001674-0,g-001674,eng_Latn,HIGH,EQUIVALENT,month_shift,True,True,True
ntx3-001674-0,g-001674,eng_Latn,HIGH,EQUIVALENT,scope_broaden,True,False,True
ntx3-001674-0,g-001674,eng_Latn,HIGH,EQUIVALENT,scope_broaden+vendor_shift,True,True,True
ntx3-001674-1,g-001674,hin_Latn,HIGH,EQUIVALENT,clean,False,False,False
ntx3-001674-1,g-001674,hin_Latn,HIGH,EQUIVALENT,vendor_shift,True,True,True
ntx3-001674-1,g-001674,hin_Latn,HIGH,EQUIVALENT,year_shift,True,True,True
ntx3-001674-1,g-001674,hin_Latn,HIGH,EQUIVALENT,month_shift,True,True,True
ntx3-001674-1,g-001674,hin_Latn,HIGH,EQUIVALENT,scope_broaden,True,False,True
ntx3-001674-1,g-001674,hin_Latn,HIGH,EQUIVALENT,scope_broaden+vendor_shift,True,True,True
ntx3-001674-2,g-001674,tel_Latn,HIGH,EQUIVALENT,clean,False,False,False
ntx3-001674-2,g-001674,tel_Latn,HIGH,EQUIVALENT,vendor_shift,True,True,True
ntx3-001674-2,g-001674,tel_Latn,HIGH,EQUIVALENT,year_shift,True,True,True
ntx3-001674-2,g-001674,tel_Latn,HIGH,EQUIVALENT,month_shift,True,True,True
ntx3-001674-2,g-001674,tel_Latn,HIGH,EQUIVALENT,scope_broaden,True,False,True
ntx3-001674-2,g-001674,tel_Latn,HIGH,EQUIVALENT,scope_broaden+vendor_shift,True,True,True
ntx3-001674-3,g-001674,tel_Telu,HIGH,EQUIVALENT,clean,False,False,False
ntx3-001674-3,g-001674,tel_Telu,HIGH,EQUIVALENT,vendor_shift,True,True,True
ntx3-001674-3,g-001674,tel_Telu,HIGH,EQUIVALENT,year_shift,True,True,True
ntx3-001674-3,g-001674,tel_Telu,HIGH,EQUIVALENT,month_shift,True,True,True
ntx3-001674-3,g-001674,tel_Telu,HIGH,EQUIVALENT,scope_broaden,True,False,True
ntx3-001674-3,g-001674,tel_Telu,HIGH,EQUIVALENT,scope_broaden+vendor_shift,True,True,True
ntx3-002470-0,g-002470,eng_Latn,MEDIUM,EQUIVALENT,clean,False,False,False
ntx3-002470-0,g-002470,eng_Latn,MEDIUM,EQUIVALENT,vendor_shift,True,True,True
ntx3-002470-0,g-002470,eng_Latn,MEDIUM,EQUIVALENT,year_shift,True,True,True
ntx3-002470-0,g-002470,eng_Latn,MEDIUM,EQUIVALENT,month_shift,True,True,True
ntx3-002470-0,g-002470,eng_Latn,MEDIUM,EQUIVALENT,scope_broaden,True,False,True
ntx3-002470-0,g-002470,eng_Latn,MEDIUM,EQUIVALENT,scope_broaden+vendor_shift,True,True,True
ntx3-002470-1,g-002470,hin_Latn,MEDIUM,EQUIVALENT,clean,False,False,False
ntx3-002470-1,g-002470,hin_Latn,MEDIUM,EQUIVALENT,vendor_shift,True,True,True
ntx3-002470-1,g-002470,hin_Latn,MEDIUM,EQUIVALENT,year_shift,True,True,True
ntx3-002470-1,g-002470,hin_Latn,MEDIUM,EQUIVALENT,month_shift,True,True,True
ntx3-002470-1,g-002470,hin_Latn,MEDIUM,EQUIVALENT,scope_broaden,True,False,True
ntx3-002470-1,g-002470,hin_Latn,MEDIUM,EQUIVALENT,scope_broaden+vendor_shift,True,True,True
ntx3-002470-2,g-002470,tel_Latn,MEDIUM,EQUIVALENT,clean,False,False,False
ntx3-002470-2,g-002470,tel_Latn,MEDIUM,EQUIVALENT,vendor_shift,True,True,True
ntx3-002470-2,g-002470,tel_Latn,MEDIUM,EQUIVALENT,year_shift,True,True,True
ntx3-002470-2,g-002470,tel_Latn,MEDIUM,EQUIVALENT,month_shift,True,True,True
ntx3-002470-2,g-002470,tel_Latn,MEDIUM,EQUIVALENT,scope_broaden,True,False,True
ntx3-002470-2,g-002470,tel_Latn,MEDIUM,EQUIVALENT,scope_broaden+vendor_shift,True,True,True
ntx3-002470-3,g-002470,tel_Telu,MEDIUM,EQUIVALENT,clean,False,False,False
ntx3-002470-3,g-002470,tel_Telu,MEDIUM,EQUIVALENT,vendor_shift,True,True,True
ntx3-002470-3,g-002470,tel_Telu,MEDIUM,EQUIVALENT,year_shift,True,True,True
ntx3-002470-3,g-002470,tel_Telu,MEDIUM,EQUIVALENT,month_shift,True,True,True
ntx3-002470-3,g-002470,tel_Telu,MEDIUM,EQUIVALENT,scope_broaden,True,False,True
ntx3-002470-3,g-002470,tel_Telu,MEDIUM,EQUIVALENT,scope_broaden+vendor_shift,True,True,True
ntx3-000825-0,g-000825,eng_Latn,HIGH,EQUIVALENT,clean,False,False,False
ntx3-000825-0,g-000825,eng_Latn,HIGH,EQUIVALENT,vendor_shift,True,True,True
ntx3-000825-0,g-000825,eng_Latn,HIGH,EQUIVALENT,year_shift,True,True,True
ntx3-000825-0,g-000825,eng_Latn,HIGH,EQUIVALENT,month_shift,True,True,True
ntx3-000825-0,g-000825,eng_Latn,HIGH,EQUIVALENT,scope_broaden,True,False,True
ntx3-000825-0,g-000825,eng_Latn,HIGH,EQUIVALENT,scope_broaden+vendor_shift,True,True,True
ntx3-000825-1,g-000825,hin_Latn,HIGH,EQUIVALENT,clean,False,False,False
ntx3-000825-1,g-000825,hin_Latn,HIGH,EQUIVALENT,vendor_shift,True,True,True
ntx3-000825-1,g-000825,hin_Latn,HIGH,EQUIVALENT,year_shift,True,True,True
ntx3-000825-1,g-000825,hin_Latn,HIGH,EQUIVALENT,month_shift,True,True,True
ntx3-000825-1,g-000825,hin_Latn,HIGH,EQUIVALENT,scope_broaden,True,False,True
ntx3-000825-1,g-000825,hin_Latn,HIGH,EQUIVALENT,scope_broaden+vendor_shift,True,True,True
ntx3-000825-2,g-000825,tel_Latn,HIGH,EQUIVALENT,clean,False,False,False
ntx3-000825-2,g-000825,tel_Latn,HIGH,EQUIVALENT,vendor_shift,True,True,True
ntx3-000825-2,g-000825,tel_Latn,HIGH,EQUIVALENT,year_shift,True,True,True
ntx3-000825-2,g-000825,tel_Latn,HIGH,EQUIVALENT,month_shift,True,True,True
ntx3-000825-2,g-000825,tel_Latn,HIGH,EQUIVALENT,scope_broaden,True,False,True
ntx3-000825-2,g-000825,tel_Latn,HIGH,EQUIVALENT,scope_broaden+vendor_shift,True,True,True
ntx3-000825-3,g-000825,tel_Telu,HIGH,EQUIVALENT,clean,False,False,False
ntx3-000825-3,g-000825,tel_Telu,HIGH,EQUIVALENT,vendor_shift,True,True,True
ntx3-000825-3,g-000825,tel_Telu,HIGH,EQUIVALENT,year_shift,True,True,True
ntx3-000825-3,g-000825,tel_Telu,HIGH,EQUIVALENT,month_shift,True,True,True
ntx3-000825-3,g-000825,tel_Telu,HIGH,EQUIVALENT,scope_broaden,True,False,True
ntx3-000825-3,g-000825,tel_Telu,HIGH,EQUIVALENT,scope_broaden+vendor_shift,True,True,True
ntx3-000324-0,g-000324,eng_Latn,MEDIUM,EQUIVALENT,clean,False,False,False
ntx3-000324-0,g-000324,eng_Latn,MEDIUM,EQUIVALENT,vendor_shift,True,True,True
ntx3-000324-0,g-000324,eng_Latn,MEDIUM,EQUIVALENT,year_shift,True,True,True
ntx3-000324-0,g-000324,eng_Latn,MEDIUM,EQUIVALENT,month_shift,True,True,True
ntx3-000324-0,g-000324,eng_Latn,MEDIUM,EQUIVALENT,scope_broaden,True,False,True
ntx3-000324-0,g-000324,eng_Latn,MEDIUM,EQUIVALENT,scope_broaden+vendor_shift,True,True,True
ntx3-000324-1,g-000324,hin_Latn,MEDIUM,EQUIVALENT,clean,False,False,False
ntx3-000324-1,g-000324,hin_Latn,MEDIUM,EQUIVALENT,vendor_shift,True,True,True
ntx3-000324-1,g-000324,hin_Latn,MEDIUM,EQUIVALENT,year_shift,True,True,True
ntx3-000324-1,g-000324,hin_Latn,MEDIUM,EQUIVALENT,month_shift,True,True,True
ntx3-000324-1,g-000324,hin_Latn,MEDIUM,EQUIVALENT,scope_broaden,True,False,True
ntx3-000324-1,g-000324,hin_Latn,MEDIUM,EQUIVALENT,scope_broaden+vendor_shift,True,True,True
ntx3-000324-2,g-000324,tel_Latn,MEDIUM,EQUIVALENT,clean,False,False,False
ntx3-000324-2,g-000324,tel_Latn,MEDIUM,EQUIVALENT,vendor_shift,True,True,True
ntx3-000324-2,g-000324,tel_Latn,MEDIUM,EQUIVALENT,year_shift,True,True,True
ntx3-000324-2,g-000324,tel_Latn,MEDIUM,EQUIVALENT,month_shift,True,True,True
ntx3-000324-2,g-000324,tel_Latn,MEDIUM,EQUIVALENT,scope_broaden,True,False,True
