case_id,proposal,anchor_violation,policy_permits,effect_equivalent,model_requests_clarify,effect_sets
formal-000025,7,True,False,False,True,"[[1, 4, 7, 8, 13, 18, 20, 21], [2, 4, 7, 13, 14, 15, 18, 20, 23], [4, 7, 13], [2, 4, 6, 7, 9, 13, 16]]"
formal-000026,2,False,True,False,False,"[[11, 12], [2, 8, 9, 10, 17], [9, 19, 20], [3, 15, 16, 17, 22]]"
formal-000027,19,False,True,False,False,"[[2, 3, 6, 8, 11], [2, 6, 7, 8, 10, 12, 19], [2], [2, 12, 20, 21, 22]]"
formal-000028,4,False,True,False,True,"[[4, 5, 11, 14, 17, 18, 21, 22], [14, 17, 22]]"
formal-000029,7,False,True,False,True,"[[3, 6, 12], [6, 12, 18], [6, 7, 8, 12, 20]]"
formal-000030,18,True,True,False,False,"[[2, 11, 17, 19, 21, 22, 23], [2, 21, 22], [21, 22]]"
formal-000031,20,True,True,False,True,"[[6, 10, 21], [7, 20, 22]]"
formal-000032,1,True,True,False,True,"[[7, 18, 20], [4, 5, 9, 18, 19, 20], [6, 8, 15, 18, 20, 21]]"
formal-000033,2,False,True,False,False,"[[0, 7, 16], [0, 21], [0, 2, 15, 16], [0]]"
formal-000034,14,False,True,False,False,"[[5, 10, 11, 14, 16, 21, 23], [5, 12, 14, 15, 21, 22, 23], [0, 1, 4, 5, 8, 12, 14, 21, 23]]"
formal-000035,0,False,True,False,True,"[[0, 4, 17, 21], [0, 4, 6, 7, 17, 20, 21], [0, 4, 7, 20, 21, 22, 23]]"
formal-000036,0,True,True,False,False,"[[0, 2, 7, 9, 20], [], [9, 11, 14, 15, 16, 22], [7, 11, 19]]"
formal-000037,17,False,True,False,False,"[[6, 7, 14, 20], [5, 11, 20], [0, 3, 16, 20]]"
formal-000038,8,False,True,False,False,"[[0, 7, 8, 12, 14, 22], [0, 6, 7, 8, 15, 22], [0, 7, 8], [0, 2, 7, 8, 10, 11, 13]]"
formal-000039,2,False,True,False,False,"[[1, 2, 5, 6, 8, 12, 17, 19], [1, 5, 6, 9, 11, 16, 17, 18, 19]]"
formal-000040,23,False,True,False,False,"[[3, 8, 13, 14, 23], [6, 8, 13, 14]]"
formal-000041,17,False,True,False,False,"[[12, 20, 21], [12, 14, 18, 20, 21], [5, 9, 10, 12, 15, 20, 21, 22, 23], [1, 6, 12, 16, 20, 21]]"
formal-000042,16,False,True,False,False,"[[2, 4, 6, 16, 18, 20], [10, 12, 16, 23]]"
formal-000043,2,False,True,False,False,"[[1, 4, 5, 8, 10, 22], [1, 5, 6, 15, 20, 21, 22, 23], [0, 1, 5, 7, 9, 10, 13, 22], [1, 5, 8, 11, 22]]"
formal-000044,5,False,True,False,True,"[[5, 13, 15, 18], [3, 13]]"
formal-000045,17,False,True,False,False,"[[1, 8, 20, 21], [6, 8, 12, 16, 17, 20, 21, 22, 23], [8, 20, 21], [1, 2, 8, 13, 20, 21, 22]]"
formal-000046,22,True,True,False,False,"[[7, 16, 22], [1, 4, 7, 14, 16, 19, 22], [7, 16, 17, 22]]"
formal-000047,18,False,True,False,False,"[[1, 4, 11, 14], [0, 8, 10, 11, 13, 14, 23], [11, 14], [6, 7, 8, 9, 11, 14, 16, 21]]"
formal-000048,13,False,True,False,False,"[[10, 12, 13, 15, 18, 20, 22, 23], [5, 10, 13, 14, 16, 18], [2, 10, 13, 18, 20], [3, 5, 10, 13, 18, 20]]"
formal-000049,8,False,True,False,False,"[[12, 18], [20], [3, 17, 19, 20, 22]]"
formal-000050,18,False,True,False,False,"[[0, 5, 8, 13, 19, 20, 23], [0, 13, 18, 20, 23], [6, 20, 23], [5, 7, 15, 20, 21, 22, 23]]"
formal-000051,20,False,True,False,False,"[[2, 5, 8, 11, 16, 20], [8, 9, 16, 20, 23], [8, 16, 19, 20], [0, 5, 7, 8, 11, 16, 20]]"
formal-000052,13,True,True,False,False,"[[3, 6, 9, 10, 11, 14, 18, 23], [6, 8, 10, 11, 13, 14, 21, 23]]"
formal-000053,11,False,True,False,False,"[[10, 11, 14, 22], [5, 10, 14, 16, 19], [10], [1, 2, 6, 8, 9, 10, 13]]"
formal-000054,3,False,True,False,False,"[[0], [1, 11], [2, 4, 6, 8, 11, 16], [3, 4, 5, 9, 10]]"
formal-000055,0,False,True,False,False,"[[3, 19], [7, 21], [2, 19], [0, 4, 19]]"
formal-000056,11,False,True,False,False,"[[1, 14], [0, 5, 6, 7, 15, 23], [14, 15, 21], [9, 11, 18, 21]]"
formal-000057,11,False,True,False,False,"[[11, 13, 15, 19, 22], [10, 13, 16, 19, 20, 21, 22], [13, 16, 19, 22], [13, 19, 22]]"
formal-000058,22,True,True,False,False,"[[5], [0, 5, 7, 8, 9, 14], [5, 7, 8, 17], [5]]"
formal-000059,2,False,True,False,False,"[[0, 4, 5, 12, 15, 16, 17, 22, 23], [15, 17, 20, 22, 23], [9, 15, 22, 23]]"
formal-000060,15,False,True,False,True,"[[2, 8, 10, 15, 19, 20, 23], [11, 13, 14, 20], [19, 20, 23], [10, 20, 21]]"
formal-000061,16,False,True,False,False,"[[1, 6, 8, 21], [0, 7, 8, 20, 23], [5, 7, 8, 14, 16], [1, 2, 3, 8]]"
formal-000062,3,False,True,False,False,"[[0, 1, 6, 9, 11, 17], [0, 1, 6], [0, 1, 6, 8, 17], [0, 1, 2, 3, 6, 9, 12]]"
formal-000063,14,False,True,False,True,"[[17, 18, 21, 23], [0, 4, 7, 9, 11, 21, 23], [1, 4, 13, 15, 16, 23], [4, 5, 19, 23]]"
formal-000064,0,True,False,True,False,"[[0, 17], [0, 17]]"
formal-000065,15,True,True,False,False,"[[2, 6, 13, 15, 18, 23], [0, 6, 10, 14, 19], [3, 15]]"
formal-000066,7,False,True,False,False,"[[0, 2, 4, 18, 23], [0, 15, 16, 19], [0, 7, 12, 16, 17], [0, 17]]"
formal-000067,4,False,True,False,False,"[[], [1, 3, 7, 8, 12, 14], [0, 1, 7, 8, 15, 18]]"
formal-000068,12,False,False,False,False,"[[3, 5, 9, 11, 12, 20, 21], [3, 20], [20]]"
formal-000069,22,False,False,False,False,"[[3, 13, 18, 20], [1, 3, 9, 13, 15, 23]]"
formal-000070,3,False,True,False,True,"[[3, 4, 16, 18, 22], [17, 18]]"
formal-000071,18,False,True,False,False,"[[0, 8, 13, 18, 19, 20, 21, 23], [0, 8, 12, 13, 15, 19, 20]]"
formal-000072,3,False,True,False,False,"[[9], [22], [6, 10, 13, 14, 18, 19], [3, 7]]"
formal-000073,10,False,True,False,False,"[[10, 11, 13, 14, 18, 21], [7]]"
formal-000074,5,False,True,False,True,"[[3, 5, 12, 13, 22], [3, 9, 12, 15, 17], [0, 3, 5, 13, 15, 23]]"
formal-000075,12,False,True,False,False,"[[0, 5, 10, 11, 13, 14, 22], [1, 3, 10, 11, 14, 18, 20, 22]]"
formal-000076,18,False,True,False,False,"[[7, 22, 23], [4, 7, 8, 15, 22, 23], [7, 10, 13, 14, 18, 19, 22, 23]]"
formal-000077,4,False,True,False,False,"[[7, 17], [0, 4, 6, 7, 17]]"
formal-000078,0,False,True,False,False,"[[0, 2, 3, 19], [0, 3, 8, 9, 19], [0, 3, 4, 11, 15, 19, 22, 23]]"
formal-000079,12,False,True,False,False,"[[3, 10, 16, 22], [2, 4, 10, 13, 16, 21, 22], [10, 16, 21, 22], [2, 10, 16, 22]]"
formal-000080,21,False,True,False,False,"[[7, 8, 11], [7, 8, 11, 18], [6, 7, 8, 11, 21], [0, 7, 8, 11, 13, 14, 16, 17]]"
formal-000081,17,False,True,False,False,"[[3, 7, 9, 12, 14, 23], [1, 6, 7, 12, 15, 18], [3, 4, 7, 9, 12, 16, 17, 21]]"
formal-000082,16,False,True,False,True,"[[11, 12], [5, 6, 10, 15, 20, 21]]"
formal-000083,6,False,True,False,True,"[[6, 18, 19, 21], [18]]"
formal-000084,22,False,True,False,False,"[[2, 7, 10, 11, 22], [2, 6, 7, 10, 16, 19, 22], [2, 7, 13, 22]]"
formal-000085,12,False,True,False,False,"[[0, 9, 10, 12, 13, 15], [0, 3, 10, 12, 14]]"
formal-000086,7,False,True,False,True,"[[3, 17, 23], [3, 7, 14, 15, 16, 20, 23]]"
formal-000087,3,False,True,False,True,"[[1, 2, 3, 5, 8, 12, 14, 20], [0, 2, 3, 4, 8, 16, 23], [3, 6, 8, 15, 21]]"
formal-000088,22,True,True,False,False,"[[0, 6, 8, 12, 16, 20, 22], [3, 5, 6, 9, 10, 17, 19, 20], [6, 8, 16, 17, 20], [6, 13, 20]]"
formal-000089,12,False,True,False,False,"[[21], [2, 4, 16, 18, 21, 22], [12, 21, 23]]"
formal-000090,14,False,True,False,False,"[[0, 1, 5, 10, 12, 18, 21, 22], [5, 10, 13, 14, 18, 21, 22, 23]]"
formal-000091,4,False,True,False,False,"[[3, 8, 13, 14, 20], [4, 5, 8, 17, 21], [3, 6, 14, 16, 17, 22], [8, 12, 16, 18, 23]]"
formal-000092,5,False,True,False,False,"[[], [0, 1, 6, 10, 13], [5, 10, 22]]"
formal-000093,5,False,True,False,False,"[[1, 13, 17, 18, 21], [0, 7, 9, 11, 16, 22], [0, 5, 9, 12]]"
formal-000094,14,False,True,False,True,"[[2, 9, 14, 22], [2, 9, 14]]"
formal-000095,17,False,True,False,False,"[[0, 4, 9, 14, 15, 17, 19, 21], [0, 7, 9, 19]]"
formal-000096,11,False,True,False,False,"[[23], [9, 11, 12, 20, 23], [23], [23]]"
formal-000097,1,False,True,False,False,"[[0, 1, 4, 6, 15, 17, 21], [0, 1, 4, 5, 6, 8], [0, 1, 2, 4, 5, 6, 8, 14, 17]]"
formal-000098,14,False,True,False,False,"[[1, 2, 6, 13, 14, 20, 22], [1, 2, 6, 11], [1, 3, 4, 6, 12, 15]]"
formal-000099,20,False,True,False,False,"[[2, 3, 10, 15, 19, 20, 22], [4, 20], [2, 12, 15, 20]]"
formal-000100,8,False,True,False,False,"[[2, 3, 4, 13, 15], [2, 4, 15]]"
formal-000101,6,True,True,False,False,"[[18], [6, 17, 18]]"
formal-000102,14,False,True,False,False,"[[8], [4, 8, 11, 13, 14]]"
formal-000103,8,False,True,False,False,"[[2, 8, 22], [0, 2, 5, 8, 10, 14, 16, 22]]"
formal-000104,22,False,True,False,False,"[[10], [8, 10, 13, 18, 19, 22], []]"
formal-000105,10,False,True,False,True,"[[3, 15, 17], [3, 5, 8, 10, 15, 17], [2, 3, 13, 14, 15, 17], [0, 3, 5, 15, 17]]"
formal-000106,9,False,True,False,False,"[[0, 9, 13, 15, 16, 18, 21, 22], [0, 1, 11, 16, 19, 21, 23], [9, 16, 19, 21], [1, 6, 15, 16, 19, 21]]"
formal-000107,20,False,True,False,False,"[[4, 7, 16, 22], [20, 22]]"
formal-000108,13,False,True,False,False,"[[2], [], [8, 20], [10, 13, 17, 19, 21]]"
formal-000109,1,False,True,False,False,"[[1, 5, 17], [17]]"
formal-000110,7,False,True,False,False,"[[3, 8, 9, 16, 20, 23], [7, 8, 9, 19, 22], [0, 1, 20, 21, 23]]"
formal-000111,16,False,True,False,False,"[[0, 5, 7, 8, 14, 18, 20, 23], [8, 14], [0, 8, 12, 14, 16, 17, 22], [8, 14, 23]]"
formal-000112,7,False,True,False,False,"[[5, 8, 12, 14], [4, 7, 10, 14, 22], [1, 6, 14, 19], [0, 3, 5, 17]]"
formal-000113,5,False,True,False,False,"[[1, 5, 10, 13, 19, 23], [1, 13, 17, 20]]"
formal-000114,4,False,True,False,False,"[[10, 11, 13, 14, 15, 18, 19], [5, 7, 11, 13, 18, 19], [13, 18, 23], [13, 18]]"
formal-000115,12,False,True,False,True,"[[8, 10, 15, 22, 23], [1, 2, 22]]"
formal-000116,21,False,True,False,False,"[[0, 1, 15, 21], [1, 15, 21], [1, 4, 12, 15, 21, 22]]"
formal-000117,2,False,True,False,False,"[[1, 4, 7, 13, 16, 19, 20, 23], [1, 2, 4, 7, 13, 19, 20], [1, 4, 9, 18, 19]]"
formal-000118,13,False,True,False,False,"[[2, 13, 14, 17, 19, 21, 23], [13, 19, 20]]"
formal-000119,2,False,True,False,False,"[[2, 7, 19], [1, 2, 3, 7, 10, 19, 20], [0, 2, 7, 10, 19, 21], [1, 2, 4, 7, 8, 16, 19, 21, 23]]"
formal-000120,0,False,True,False,False,"[[1, 2, 5, 7, 9, 12, 13, 17, 21], [1, 6, 7, 8, 9, 12, 19, 20, 22], [1, 7, 8, 9, 12, 16, 18, 19]]"
formal-000121,14,False,False,False,False,"[[4, 6, 9, 10, 11, 12, 14, 20, 21], [0, 2, 4, 7, 8, 12, 14, 20]]"
formal-000122,18,False,True,False,True,"[[2, 7, 14, 16, 18, 19], [4, 14, 18], [0, 3, 6, 18, 19]]"
formal-000123,0,True,True,False,False,"[[], [0, 19, 22], [3, 4, 10, 21], [4, 15, 23]]"
formal-000124,12,True,False,False,False,"[[1, 6, 15], [0, 1, 6, 7, 12, 19, 21], [1, 3, 5, 6, 15, 19, 21]]"
formal-000125,21,False,True,False,False,"[[2, 4, 5, 16, 18, 21, 23], [2, 4, 9, 14, 17, 18, 19, 21], [4, 13, 14, 15, 16, 18, 21, 22], [2, 3, 4, 11, 13, 18, 21, 22, 23]]"
formal-000126,9,False,True,False,False,"[[1, 4, 8, 9, 14, 21], [4, 9, 12, 19, 22, 23], [2, 4, 8, 9, 19, 22], [4, 9]]"
formal-000127,21,False,True,False,False,"[[0, 5, 11, 15, 16, 21, 23], [0, 15, 21]]"
formal-000128,14,False,True,False,True,"[[1, 4, 5, 8, 9, 12, 19, 21, 23], [1, 4, 8, 14, 23]]"
formal-000129,18,False,True,False,False,"[[5, 17, 18, 22], [0, 4, 5, 9, 14, 18, 22]]"
formal-000130,1,True,True,False,False,"[[0, 5, 12, 13, 20], [0, 1, 5, 11, 13, 14, 16, 22], [0, 1, 4, 5, 9, 12, 20], [0, 4, 5, 22]]"
formal-000131,18,False,True,False,False,"[[3, 5, 12, 15, 18, 19], [5, 8, 9, 16, 17], []]"
formal-000132,10,False,True,False,False,"[[10], [1, 3, 10], [10]]"
formal-000133,14,False,True,False,False,"[[0, 7, 9, 11, 20], [3, 6, 9, 11, 13, 18, 20], [2, 9, 11, 14, 20], [11, 17, 18, 20]]"
formal-000134,22,False,False,False,False,"[[20], [1, 18, 20], [3, 7, 20, 23]]"
formal-000135,8,False,True,False,False,"[[], [6, 8, 9, 14, 15, 19]]"
formal-000136,17,False,False,False,False,"[[3, 4, 5, 6, 9, 10], [6], [6, 10, 17, 19, 21], [2, 4, 6, 7, 16, 17, 20]]"
formal-000137,16,True,True,False,False,"[[1, 2, 4, 6, 16, 17, 20, 23], [1, 3, 6, 20, 23], [1, 6, 20]]"
formal-000138,14,False,True,False,False,"[[3, 5, 7, 18], [3, 9, 16, 18], [3, 10, 15, 16, 18], [3, 7, 11, 14, 18, 21]]"
formal-000139,12,False,False,False,False,"[[3, 4, 8], [4, 5, 8, 10, 11, 12], [1, 4, 8, 9, 10, 15, 16, 23], [3, 4, 7, 8, 19, 20]]"
formal-000140,17,False,True,False,False,"[[9, 20, 22, 23], [7, 9, 23], [6, 13, 15, 17, 18, 21, 23], [23]]"
formal-000141,16,False,True,False,False,"[[5, 9, 12, 18], [5, 10, 12, 18], [3, 5, 10, 12, 13, 15, 18], [3, 5, 6, 7, 12, 16, 18, 22, 23]]"
formal-000142,7,True,True,False,False,"[[0, 1, 2, 7, 8, 17, 22], [7, 23], [3, 5, 6, 7, 21]]"
formal-000143,2,False,True,False,False,"[[8], [6, 8, 20]]"
formal-000144,21,True,True,False,False,"[[1, 3, 16, 17], [9, 13], [17, 19, 21]]"
formal-000145,11,False,True,False,False,"[[20], [0, 2, 12, 16, 20], [4, 5, 11, 18, 19, 20, 23], [0, 11, 13, 14, 16, 20]]"
formal-000146,5,False,True,False,False,"[[2, 5, 7, 14, 22, 23], [1, 7, 16, 22, 23], [5, 7, 11, 12, 15, 16, 17, 23]]"
formal-000147,0,False,True,False,False,"[[3, 7, 8, 16], [0, 2, 5, 7, 8, 14, 16], [7, 8, 16]]"
formal-000148,15,False,True,False,True,"[[0, 12, 20, 22], [3, 6, 12, 15, 20, 21]]"
formal-000149,21,False,True,False,False,"[[0, 7, 9, 20, 21], []]"
formal-000150,19,True,False,False,True,"[[6, 19], [0, 5, 6, 8, 19, 21, 22]]"
formal-000151,7,False,True,False,False,"[[20, 21], [7, 10, 21, 22], [4, 5, 9, 21, 22], [1, 2, 7, 13, 15, 21]]"
formal-000152,11,False,True,False,False,"[[10, 12, 17], [10, 12, 15, 17], [7, 10, 12, 16, 17, 21]]"
formal-000153,18,False,False,False,False,"[[1, 12, 18, 23], [1, 21, 23]]"
formal-000154,14,False,True,False,False,"[[20], [], [1, 8, 10, 14]]"
formal-000155,8,False,True,False,False,"[[16, 21], [3, 4, 5, 8, 10, 13, 16, 21]]"
formal-000156,0,False,True,False,False,"[[0, 3, 9, 17, 19], [], [3, 5, 21, 23]]"
formal-000157,17,False,True,False,True,"[[14, 15, 17], [0, 2, 9, 10, 13, 14, 15, 17, 21]]"
formal-000158,7,False,True,False,False,"[[], [7, 13, 14, 19], [5, 11, 15, 20], [5, 12, 19]]"
formal-000159,1,False,True,False,False,"[[], [1, 2, 6, 7]]"
formal-000160,22,False,True,False,False,"[[1, 17, 21], [5]]"
formal-000161,17,False,False,False,False,"[[6, 9, 12], [9, 12, 13, 14, 18, 21], [2, 5, 10, 18, 21], [6, 10, 16, 21]]"
formal-000162,4,False,True,False,False,"[[1, 5, 9, 11, 14, 15, 18], [1, 4, 14, 21, 23], [1, 14, 15, 17, 21, 22]]"
formal-000163,12,False,True,False,False,"[[0, 11, 12, 13, 14, 15, 18, 23], [0, 2, 4, 9, 12, 18], [1, 12, 18]]"
formal-000164,15,False,True,False,True,"[[2, 5, 7, 8, 14, 15, 21, 22, 23], [5, 14, 22], [0, 3, 5, 14, 22]]"
formal-000165,20,False,True,False,False,"[[1, 4, 5, 7, 10, 13, 21, 23], [1, 5, 10, 11, 13, 23], [1, 5, 6, 10]]"
formal-000166,12,False,True,False,False,"[[16], [16], [5, 12, 16, 22], [16]]"
formal-000167,16,False,True,False,False,"[[0, 1, 9, 15, 18, 22], [0, 3, 9, 14, 16, 22], [0, 9, 12, 15, 16, 17, 22], [0, 4, 8, 9, 12, 15, 22]]"
formal-000168,22,False,True,False,True,"[[0, 7, 11, 15, 17, 18, 22], [0, 17, 22]]"
formal-000169,1,False,True,False,False,"[[4, 5, 14], [], [1, 3, 16], [4, 20, 22]]"
formal-000170,6,False,False,False,False,"[[8, 11], [8, 11], [6, 8, 11, 17]]"
formal-000171,6,False,True,False,False,"[[1, 6, 22], [0, 20], [0, 10]]"
formal-000172,4,True,True,False,False,"[[0, 5, 7, 8, 10, 13], [4, 8, 9, 10, 23], [5, 8, 16, 18], [8]]"
formal-000173,21,False,True,False,False,"[[3, 5, 7, 14, 15, 17, 22], [12, 13, 15, 22, 23], [2, 4, 6, 13, 15], [15]]"
formal-000174,1,False,True,False,False,"[[8, 15, 17, 19, 22, 23], [3, 6, 7, 8, 10, 17, 19]]"
formal-000175,1,False,True,False,False,"[[2, 4, 6, 7, 11, 21, 23], [4, 13, 22]]"
formal-000176,19,False,True,False,True,"[[1, 8, 17, 19], [2, 5, 8, 17, 20], [2, 4, 8, 13, 17]]"
formal-000177,6,False,True,False,False,"[[5, 13, 16, 17], [1, 5, 6, 12, 18], [5, 6, 13, 20, 21]]"
formal-000178,23,False,True,False,False,"[[0, 2, 3, 5, 6, 7, 15, 22], [0, 7], [0, 7, 12, 18, 20, 23]]"
formal-000179,9,False,True,False,True,"[[9, 12, 15, 16], [9, 15, 20, 22], [15, 16, 17, 23], [22]]"
formal-000180,2,False,False,False,False,"[[0, 5, 6, 8, 13, 18, 19, 20, 21], [0, 1, 2, 13, 14, 15, 16, 19], [0, 13, 15, 19], [0, 2, 3, 11, 12, 13, 17, 19, 21]]"
formal-000181,19,False,True,False,True,"[[3, 9, 11, 14, 16, 20], [0, 3, 6, 8, 12, 14, 16, 20, 23], [3, 8, 11, 14, 15, 16, 19, 20, 22]]"
formal-000182,4,True,True,False,False,"[[0, 2, 5, 7, 9, 16, 19, 22], [3, 6, 7, 9, 16, 22]]"
formal-000183,14,False,True,False,False,"[[0, 6, 8, 12, 23], [8, 11, 12], [8, 12, 20], [0, 4, 8, 11, 12, 13, 14, 16]]"
formal-000184,21,True,True,False,False,"[[1, 17, 18], [1, 3, 7, 8, 11, 12, 13, 17, 18], [1, 17, 18], [1, 7, 17, 18, 21]]"
formal-000185,3,False,True,False,True,"[[14], [14], [1, 3, 5, 14]]"
formal-000186,6,True,True,False,False,"[[3, 4, 5, 6, 7, 13, 18, 21, 22], [4, 6, 8, 10, 12, 13, 20, 21]]"
formal-000187,0,False,True,False,False,"[[0, 7, 8, 18, 19, 23], [9, 15, 22, 23], [3, 6, 22], [1, 3, 5, 16, 17]]"
formal-000188,13,False,True,False,False,"[[12, 13, 21, 22], [20], [4, 11, 16, 20], [4]]"
formal-000189,2,False,True,False,False,"[[2, 3, 4, 5, 6], [1, 3, 4, 5, 7, 19, 20]]"
formal-000190,22,False,True,False,False,"[[9], [3, 9, 12, 17, 21], [9, 17, 22], [9, 15, 17, 23]]"
formal-000191,12,False,True,False,False,"[[5, 7, 9, 10, 11, 17], [], []]"
formal-000192,12,False,True,False,True,"[[12, 16], [0, 1, 5, 10, 12, 16, 18, 20], [12, 16]]"
formal-000193,13,False,True,False,True,"[[2, 3, 4, 10, 13, 15, 22, 23], [2, 10, 22], [2, 10, 22]]"
formal-000194,11,False,True,False,False,"[[23], [4, 10, 14, 22], [5, 20, 21], []]"
formal-000195,21,False,True,False,False,"[[2, 11, 13, 19], [10, 11, 16, 19, 20, 21], [2, 11, 19, 20]]"
formal-000196,3,False,True,False,False,"[[3, 4, 9, 19, 23], [3, 5, 9, 19]]"
formal-000197,21,False,True,False,False,"[[6, 19, 21], [13]]"
formal-000198,14,False,False,False,True,"[[2, 9, 15, 16, 19, 22], [15, 21, 23], [6, 11, 14, 15, 20, 22]]"
formal-000199,11,False,True,False,False,"[[3, 4, 8, 11, 15, 16, 18, 21], [3, 5, 8, 19, 21], [3, 4, 8, 21], [0, 1, 2, 3, 5, 8, 16, 17, 21]]"
formal-000200,1,False,True,False,False,"[[3, 14, 17, 18, 22], [0, 12, 17], [0, 1, 5, 7, 17, 23]]"
formal-000201,1,False,True,False,False,"[[3, 4, 6, 10, 11, 16, 21], [1, 3]]"
formal-000202,21,False,True,False,False,"[[1, 15, 16, 17, 19, 20, 21], [1, 16]]"
formal-000203,14,False,True,False,False,"[[1, 7, 10, 16], [8, 11, 15], [2, 6, 13, 15], [9, 13, 19]]"
formal-000204,22,False,True,False,True,"[[0, 16, 22], [11, 16, 21, 22], [16, 22]]"
formal-000205,5,False,True,False,False,"[[], [], [1, 5, 11, 21], [6, 22]]"
formal-000206,15,False,True,False,False,"[[0, 5, 18, 19, 21, 22, 23], [6, 10, 13, 18, 22]]"
formal-000207,9,False,True,False,False,"[[7, 17, 19, 22], [11, 17], [9, 10, 14, 17, 22]]"
formal-000208,13,True,True,False,False,"[[2, 6, 17, 23], [2, 15, 18, 23], [1, 2, 6, 8, 9, 21, 23]]"
formal-000209,14,False,True,False,False,"[[5, 6, 7, 13, 18, 19, 20, 22], [13, 19, 22], [2, 7, 13, 17, 18, 19, 22], [9, 13, 19, 22]]"
formal-000210,12,False,True,False,False,"[[0, 2, 8, 15], [1, 2, 9, 10], [2, 21], [2, 12, 13]]"
formal-000211,19,False,True,False,False,"[[2, 5, 10, 13, 17], [1, 4, 5, 10, 13, 15, 18]]"
formal-000212,2,False,True,False,False,"[[3, 10, 18], [3, 9, 16, 18]]"
formal-000213,5,False,True,False,True,"[[4, 10, 11, 12, 18, 21], [11, 18, 21], [3, 11, 18, 21, 23], [0, 3, 4, 5, 8, 11, 13, 18, 21]]"
formal-000214,8,False,True,False,True,"[[8, 15], [0, 2, 8, 15]]"
formal-000215,9,False,True,False,False,"[[0, 2, 3, 4, 19, 23], [0, 2, 4, 14, 15], [0, 2, 4], [0, 2, 4, 5, 7, 9, 12, 19]]"
formal-000216,10,False,True,False,False,"[[3], [6, 12, 15, 17, 20, 23], [9, 10, 14, 19, 22, 23], [14]]"
formal-000217,11,False,True,False,False,"[[0, 4, 7, 9, 10, 11, 14, 17, 22], [5, 9, 10, 11, 12, 20, 22]]"
formal-000218,8,False,True,False,False,"[[12, 15, 18, 21, 23], [], [1, 8, 9, 10, 19, 23]]"
