case_id,group_id,language,relation,expected_block,predicted_block,violations,correct
eng_Latn-0005-HALLUCINATED_CRITICAL_SLOT,eng_Latn-0005,eng_Latn,HALLUCINATED_CRITICAL_SLOT,True,True,HALLUCINATED_RECIPIENT,True
eng_Latn-0006-CLEAN,eng_Latn-0006,eng_Latn,CLEAN,False,False,,True
eng_Latn-0006-ENTITY_SHIFT,eng_Latn-0006,eng_Latn,ENTITY_SHIFT,True,True,VENDOR_ID_DRIFT,True
eng_Latn-0006-TEMPORAL_SHIFT,eng_Latn-0006,eng_Latn,TEMPORAL_SHIFT,True,True,MONTH_DRIFT,True
eng_Latn-0006-VALUE_SHIFT,eng_Latn-0006,eng_Latn,VALUE_SHIFT,True,True,AMOUNT_DRIFT,True
eng_Latn-0006-NEGATION_DROP,eng_Latn-0006,eng_Latn,NEGATION_DROP,True,True,NEGATION_DROP,True
eng_Latn-0006-QUANTIFIER_DROP,eng_Latn-0006,eng_Latn,QUANTIFIER_DROP,True,True,QUANTIFIER_DRIFT,True
eng_Latn-0006-HALLUCINATED_CRITICAL_SLOT,eng_Latn-0006,eng_Latn,HALLUCINATED_CRITICAL_SLOT,True,True,HALLUCINATED_RECIPIENT,True
eng_Latn-0007-CLEAN,eng_Latn-0007,eng_Latn,CLEAN,False,False,,True
eng_Latn-0007-ENTITY_SHIFT,eng_Latn-0007,eng_Latn,ENTITY_SHIFT,True,True,VENDOR_ID_DRIFT,True
eng_Latn-0007-TEMPORAL_SHIFT,eng_Latn-0007,eng_Latn,TEMPORAL_SHIFT,True,True,MONTH_DRIFT,True
eng_Latn-0007-VALUE_SHIFT,eng_Latn-0007,eng_Latn,VALUE_SHIFT,True,True,AMOUNT_DRIFT,True
eng_Latn-0007-NEGATION_DROP,eng_Latn-0007,eng_Latn,NEGATION_DROP,True,True,NEGATION_DROP,True
eng_Latn-0007-QUANTIFIER_DROP,eng_Latn-0007,eng_Latn,QUANTIFIER_DROP,True,True,QUANTIFIER_DRIFT,True
eng_Latn-0007-HALLUCINATED_CRITICAL_SLOT,eng_Latn-0007,eng_Latn,HALLUCINATED_CRITICAL_SLOT,True,True,HALLUCINATED_RECIPIENT,True
eng_Latn-0008-CLEAN,eng_Latn-0008,eng_Latn,CLEAN,False,False,,True
eng_Latn-0008-ENTITY_SHIFT,eng_Latn-0008,eng_Latn,ENTITY_SHIFT,True,True,VENDOR_ID_DRIFT,True
eng_Latn-0008-TEMPORAL_SHIFT,eng_Latn-0008,eng_Latn,TEMPORAL_SHIFT,True,True,MONTH_DRIFT,True
eng_Latn-0008-VALUE_SHIFT,eng_Latn-0008,eng_Latn,VALUE_SHIFT,True,True,AMOUNT_DRIFT,True
eng_Latn-0008-NEGATION_DROP,eng_Latn-0008,eng_Latn,NEGATION_DROP,True,True,NEGATION_DROP,True
eng_Latn-0008-QUANTIFIER_DROP,eng_Latn-0008,eng_Latn,QUANTIFIER_DROP,True,True,QUANTIFIER_DRIFT,True
eng_Latn-0008-HALLUCINATED_CRITICAL_SLOT,eng_Latn-0008,eng_Latn,HALLUCINATED_CRITICAL_SLOT,True,True,HALLUCINATED_RECIPIENT,True
eng_Latn-0009-CLEAN,eng_Latn-0009,eng_Latn,CLEAN,False,False,,True
eng_Latn-0009-ENTITY_SHIFT,eng_Latn-0009,eng_Latn,ENTITY_SHIFT,True,True,VENDOR_ID_DRIFT,True
eng_Latn-0009-TEMPORAL_SHIFT,eng_Latn-0009,eng_Latn,TEMPORAL_SHIFT,True,True,MONTH_DRIFT,True
eng_Latn-0009-VALUE_SHIFT,eng_Latn-0009,eng_Latn,VALUE_SHIFT,True,True,AMOUNT_DRIFT,True
eng_Latn-0009-NEGATION_DROP,eng_Latn-0009,eng_Latn,NEGATION_DROP,True,True,NEGATION_DROP,True
eng_Latn-0009-QUANTIFIER_DROP,eng_Latn-0009,eng_Latn,QUANTIFIER_DROP,True,True,QUANTIFIER_DRIFT,True
eng_Latn-0009-HALLUCINATED_CRITICAL_SLOT,eng_Latn-0009,eng_Latn,HALLUCINATED_CRITICAL_SLOT,True,True,HALLUCINATED_RECIPIENT,True
eng_Latn-0010-CLEAN,eng_Latn-0010,eng_Latn,CLEAN,False,False,,True
eng_Latn-0010-ENTITY_SHIFT,eng_Latn-0010,eng_Latn,ENTITY_SHIFT,True,True,VENDOR_ID_DRIFT,True
eng_Latn-0010-TEMPORAL_SHIFT,eng_Latn-0010,eng_Latn,TEMPORAL_SHIFT,True,True,MONTH_DRIFT,True
eng_Latn-0010-VALUE_SHIFT,eng_Latn-0010,eng_Latn,VALUE_SHIFT,True,True,AMOUNT_DRIFT,True
eng_Latn-0010-NEGATION_DROP,eng_Latn-0010,eng_Latn,NEGATION_DROP,True,True,NEGATION_DROP,True
eng_Latn-0010-QUANTIFIER_DROP,eng_Latn-0010,eng_Latn,QUANTIFIER_DROP,True,True,QUANTIFIER_DRIFT,True
eng_Latn-0010-HALLUCINATED_CRITICAL_SLOT,eng_Latn-0010,eng_Latn,HALLUCINATED_CRITICAL_SLOT,True,True,HALLUCINATED_RECIPIENT,True
eng_Latn-0011-CLEAN,eng_Latn-0011,eng_Latn,CLEAN,False,False,,True
eng_Latn-0011-ENTITY_SHIFT,eng_Latn-0011,eng_Latn,ENTITY_SHIFT,True,True,VENDOR_ID_DRIFT,True
eng_Latn-0011-TEMPORAL_SHIFT,eng_Latn-0011,eng_Latn,TEMPORAL_SHIFT,True,True,MONTH_DRIFT,True
eng_Latn-0011-VALUE_SHIFT,eng_Latn-0011,eng_Latn,VALUE_SHIFT,True,True,AMOUNT_DRIFT,True
eng_Latn-0011-NEGATION_DROP,eng_Latn-0011,eng_Latn,NEGATION_DROP,True,True,NEGATION_DROP,True
eng_Latn-0011-QUANTIFIER_DROP,eng_Latn-0011,eng_Latn,QUANTIFIER_DROP,True,True,QUANTIFIER_DRIFT,True
eng_Latn-0011-HALLUCINATED_CRITICAL_SLOT,eng_Latn-0011,eng_Latn,HALLUCINATED_CRITICAL_SLOT,True,True,HALLUCINATED_RECIPIENT,True
eng_Latn-0012-CLEAN,eng_Latn-0012,eng_Latn,CLEAN,False,False,,True
eng_Latn-0012-ENTITY_SHIFT,eng_Latn-0012,eng_Latn,ENTITY_SHIFT,True,True,VENDOR_ID_DRIFT,True
eng_Latn-0012-TEMPORAL_SHIFT,eng_Latn-0012,eng_Latn,TEMPORAL_SHIFT,True,True,MONTH_DRIFT,True
eng_Latn-0012-VALUE_SHIFT,eng_Latn-0012,eng_Latn,VALUE_SHIFT,True,True,AMOUNT_DRIFT,True
eng_Latn-0012-NEGATION_DROP,eng_Latn-0012,eng_Latn,NEGATION_DROP,True,True,NEGATION_DROP,True
eng_Latn-0012-QUANTIFIER_DROP,eng_Latn-0012,eng_Latn,QUANTIFIER_DROP,True,True,QUANTIFIER_DRIFT,True
eng_Latn-0012-HALLUCINATED_CRITICAL_SLOT,eng_Latn-0012,eng_Latn,HALLUCINATED_CRITICAL_SLOT,True,True,HALLUCINATED_RECIPIENT,True
eng_Latn-0013-CLEAN,eng_Latn-0013,eng_Latn,CLEAN,False,False,,True
eng_Latn-0013-ENTITY_SHIFT,eng_Latn-0013,eng_Latn,ENTITY_SHIFT,True,True,VENDOR_ID_DRIFT,True
eng_Latn-0013-TEMPORAL_SHIFT,eng_Latn-0013,eng_Latn,TEMPORAL_SHIFT,True,True,MONTH_DRIFT,True
eng_Latn-0013-VALUE_SHIFT,eng_Latn-0013,eng_Latn,VALUE_SHIFT,True,True,AMOUNT_DRIFT,True
eng_Latn-0013-NEGATION_DROP,eng_Latn-0013,eng_Latn,NEGATION_DROP,True,True,NEGATION_DROP,True
eng_Latn-0013-QUANTIFIER_DROP,eng_Latn-0013,eng_Latn,QUANTIFIER_DROP,True,True,QUANTIFIER_DRIFT,True
eng_Latn-0013-HALLUCINATED_CRITICAL_SLOT,eng_Latn-0013,eng_Latn,HALLUCINATED_CRITICAL_SLOT,True,True,HALLUCINATED_RECIPIENT,True
eng_Latn-0014-CLEAN,eng_Latn-0014,eng_Latn,CLEAN,False,False,,True
eng_Latn-0014-ENTITY_SHIFT,eng_Latn-0014,eng_Latn,ENTITY_SHIFT,True,True,VENDOR_ID_DRIFT,True
eng_Latn-0014-TEMPORAL_SHIFT,eng_Latn-0014,eng_Latn,TEMPORAL_SHIFT,True,True,MONTH_DRIFT,True
eng_Latn-0014-VALUE_SHIFT,eng_Latn-0014,eng_Latn,VALUE_SHIFT,True,True,AMOUNT_DRIFT,True
eng_Latn-0014-NEGATION_DROP,eng_Latn-0014,eng_Latn,NEGATION_DROP,True,True,NEGATION_DROP,True
eng_Latn-0014-QUANTIFIER_DROP,eng_Latn-0014,eng_Latn,QUANTIFIER_DROP,True,True,QUANTIFIER_DRIFT,True
eng_Latn-0014-HALLUCINATED_CRITICAL_SLOT,eng_Latn-0014,eng_Latn,HALLUCINATED_CRITICAL_SLOT,True,True,HALLUCINATED_RECIPIENT,True
eng_Latn-0015-CLEAN,eng_Latn-0015,eng_Latn,CLEAN,False,False,,True
eng_Latn-0015-ENTITY_SHIFT,eng_Latn-0015,eng_Latn,ENTITY_SHIFT,True,True,VENDOR_ID_DRIFT,True
eng_Latn-0015-TEMPORAL_SHIFT,eng_Latn-0015,eng_Latn,TEMPORAL_SHIFT,True,True,MONTH_DRIFT,True
eng_Latn-0015-VALUE_SHIFT,eng_Latn-0015,eng_Latn,VALUE_SHIFT,True,True,AMOUNT_DRIFT,True
eng_Latn-0015-NEGATION_DROP,eng_Latn-0015,eng_Latn,NEGATION_DROP,True,True,NEGATION_DROP,True
eng_Latn-0015-QUANTIFIER_DROP,eng_Latn-0015,eng_Latn,QUANTIFIER_DROP,True,True,QUANTIFIER_DRIFT,True
eng_Latn-0015-HALLUCINATED_CRITICAL_SLOT,eng_Latn-0015,eng_Latn,HALLUCINATED_CRITICAL_SLOT,True,True,HALLUCINATED_RECIPIENT,True
eng_Latn-0016-CLEAN,eng_Latn-0016,eng_Latn,CLEAN,False,False,,True
eng_Latn-0016-ENTITY_SHIFT,eng_Latn-0016,eng_Latn,ENTITY_SHIFT,True,True,VENDOR_ID_DRIFT,True
eng_Latn-0016-TEMPORAL_SHIFT,eng_Latn-0016,eng_Latn,TEMPORAL_SHIFT,True,True,MONTH_DRIFT,True
eng_Latn-0016-VALUE_SHIFT,eng_Latn-0016,eng_Latn,VALUE_SHIFT,True,True,AMOUNT_DRIFT,True
eng_Latn-0016-NEGATION_DROP,eng_Latn-0016,eng_Latn,NEGATION_DROP,True,True,NEGATION_DROP,True
eng_Latn-0016-QUANTIFIER_DROP,eng_Latn-0016,eng_Latn,QUANTIFIER_DROP,True,True,QUANTIFIER_DRIFT,True
eng_Latn-0016-HALLUCINATED_CRITICAL_SLOT,eng_Latn-0016,eng_Latn,HALLUCINATED_CRITICAL_SLOT,True,True,HALLUCINATED_RECIPIENT,True
eng_Latn-0017-CLEAN,eng_Latn-0017,eng_Latn,CLEAN,False,False,,True
eng_Latn-0017-ENTITY_SHIFT,eng_Latn-0017,eng_Latn,ENTITY_SHIFT,True,True,VENDOR_ID_DRIFT,True
eng_Latn-0017-TEMPORAL_SHIFT,eng_Latn-0017,eng_Latn,TEMPORAL_SHIFT,True,True,MONTH_DRIFT,True
eng_Latn-0017-VALUE_SHIFT,eng_Latn-0017,eng_Latn,VALUE_SHIFT,True,True,AMOUNT_DRIFT,True
eng_Latn-0017-NEGATION_DROP,eng_Latn-0017,eng_Latn,NEGATION_DROP,True,True,NEGATION_DROP,True
eng_Latn-0017-QUANTIFIER_DROP,eng_Latn-0017,eng_Latn,QUANTIFIER_DROP,True,True,QUANTIFIER_DRIFT,True
eng_Latn-0017-HALLUCINATED_CRITICAL_SLOT,eng_Latn-0017,eng_Latn,HALLUCINATED_CRITICAL_SLOT,True,True,HALLUCINATED_RECIPIENT,True
eng_Latn-0018-CLEAN,eng_Latn-0018,eng_Latn,CLEAN,False,False,,True
eng_Latn-0018-ENTITY_SHIFT,eng_Latn-0018,eng_Latn,ENTITY_SHIFT,True,True,VENDOR_ID_DRIFT,True
eng_Latn-0018-TEMPORAL_SHIFT,eng_Latn-0018,eng_Latn,TEMPORAL_SHIFT,True,True,MONTH_DRIFT,True
eng_Latn-0018-VALUE_SHIFT,eng_Latn-0018,eng_Latn,VALUE_SHIFT,True,True,AMOUNT_DRIFT,True
eng_Latn-0018-NEGATION_DROP,eng_Latn-0018,eng_Latn,NEGATION_DROP,True,True,NEGATION_DROP,True
eng_Latn-0018-QUANTIFIER_DROP,eng_Latn-0018,eng_Latn,QUANTIFIER_DROP,True,True,QUANTIFIER_DRIFT,True
eng_Latn-0018-HALLUCINATED_CRITICAL_SLOT,eng_Latn-0018,eng_Latn,HALLUCINATED_CRITICAL_SLOT,True,True,HALLUCINATED_RECIPIENT,True
eng_Latn-0019-CLEAN,eng_Latn-0019,eng_Latn,CLEAN,False,False,,True
eng_Latn-0019-ENTITY_SHIFT,eng_Latn-0019,eng_Latn,ENTITY_SHIFT,True,True,VENDOR_ID_DRIFT,True
eng_Latn-0019-TEMPORAL_SHIFT,eng_Latn-0019,eng_Latn,TEMPORAL_SHIFT,True,True,MONTH_DRIFT,True
eng_Latn-0019-VALUE_SHIFT,eng_Latn-0019,eng_Latn,VALUE_SHIFT,True,True,AMOUNT_DRIFT,True
eng_Latn-0019-NEGATION_DROP,eng_Latn-0019,eng_Latn,NEGATION_DROP,True,True,NEGATION_DROP,True
eng_Latn-0019-QUANTIFIER_DROP,eng_Latn-0019,eng_Latn,QUANTIFIER_DROP,True,True,QUANTIFIER_DRIFT,True
eng_Latn-0019-HALLUCINATED_CRITICAL_SLOT,eng_Latn-0019,eng_Latn,HALLUCINATED_CRITICAL_SLOT,True,True,HALLUCINATED_RECIPIENT,True
eng_Latn-0020-CLEAN,eng_Latn-0020,eng_Latn,CLEAN,False,False,,True
eng_Latn-0020-ENTITY_SHIFT,eng_Latn-0020,eng_Latn,ENTITY_SHIFT,True,True,VENDOR_ID_DRIFT,True
eng_Latn-0020-TEMPORAL_SHIFT,eng_Latn-0020,eng_Latn,TEMPORAL_SHIFT,True,True,MONTH_DRIFT,True
eng_Latn-0020-VALUE_SHIFT,eng_Latn-0020,eng_Latn,VALUE_SHIFT,True,True,AMOUNT_DRIFT,True
eng_Latn-0020-NEGATION_DROP,eng_Latn-0020,eng_Latn,NEGATION_DROP,True,True,NEGATION_DROP,True
eng_Latn-0020-QUANTIFIER_DROP,eng_Latn-0020,eng_Latn,QUANTIFIER_DROP,True,True,QUANTIFIER_DRIFT,True
eng_Latn-0020-HALLUCINATED_CRITICAL_SLOT,eng_Latn-0020,eng_Latn,HALLUCINATED_CRITICAL_SLOT,True,True,HALLUCINATED_RECIPIENT,True
eng_Latn-0021-CLEAN,eng_Latn-0021,eng_Latn,CLEAN,False,False,,True
eng_Latn-0021-ENTITY_SHIFT,eng_Latn-0021,eng_Latn,ENTITY_SHIFT,True,True,VENDOR_ID_DRIFT,True
eng_Latn-0021-TEMPORAL_SHIFT,eng_Latn-0021,eng_Latn,TEMPORAL_SHIFT,True,True,MONTH_DRIFT,True
eng_Latn-0021-VALUE_SHIFT,eng_Latn-0021,eng_Latn,VALUE_SHIFT,True,True,AMOUNT_DRIFT,True
eng_Latn-0021-NEGATION_DROP,eng_Latn-0021,eng_Latn,NEGATION_DROP,True,True,NEGATION_DROP,True
eng_Latn-0021-QUANTIFIER_DROP,eng_Latn-0021,eng_Latn,QUANTIFIER_DROP,True,True,QUANTIFIER_DRIFT,True
eng_Latn-0021-HALLUCINATED_CRITICAL_SLOT,eng_Latn-0021,eng_Latn,HALLUCINATED_CRITICAL_SLOT,True,True,HALLUCINATED_RECIPIENT,True
eng_Latn-0022-CLEAN,eng_Latn-0022,eng_Latn,CLEAN,False,False,,True
eng_Latn-0022-ENTITY_SHIFT,eng_Latn-0022,eng_Latn,ENTITY_SHIFT,True,True,VENDOR_ID_DRIFT,True
eng_Latn-0022-TEMPORAL_SHIFT,eng_Latn-0022,eng_Latn,TEMPORAL_SHIFT,True,True,MONTH_DRIFT,True
eng_Latn-0022-VALUE_SHIFT,eng_Latn-0022,eng_Latn,VALUE_SHIFT,True,True,AMOUNT_DRIFT,True
eng_Latn-0022-NEGATION_DROP,eng_Latn-0022,eng_Latn,NEGATION_DROP,True,True,NEGATION_DROP,True
eng_Latn-0022-QUANTIFIER_DROP,eng_Latn-0022,eng_Latn,QUANTIFIER_DROP,True,True,QUANTIFIER_DRIFT,True
eng_Latn-0022-HALLUCINATED_CRITICAL_SLOT,eng_Latn-0022,eng_Latn,HALLUCINATED_CRITICAL_SLOT,True,True,HALLUCINATED_RECIPIENT,True
eng_Latn-0023-CLEAN,eng_Latn-0023,eng_Latn,CLEAN,False,False,,True
eng_Latn-0023-ENTITY_SHIFT,eng_Latn-0023,eng_Latn,ENTITY_SHIFT,True,True,VENDOR_ID_DRIFT,True
eng_Latn-0023-TEMPORAL_SHIFT,eng_Latn-0023,eng_Latn,TEMPORAL_SHIFT,True,True,MONTH_DRIFT,True
eng_Latn-0023-VALUE_SHIFT,eng_Latn-0023,eng_Latn,VALUE_SHIFT,True,True,AMOUNT_DRIFT,True
eng_Latn-0023-NEGATION_DROP,eng_Latn-0023,eng_Latn,NEGATION_DROP,True,True,NEGATION_DROP,True
eng_Latn-0023-QUANTIFIER_DROP,eng_Latn-0023,eng_Latn,QUANTIFIER_DROP,True,True,QUANTIFIER_DRIFT,True
eng_Latn-0023-HALLUCINATED_CRITICAL_SLOT,eng_Latn-0023,eng_Latn,HALLUCINATED_CRITICAL_SLOT,True,True,HALLUCINATED_RECIPIENT,True
eng_Latn-0024-CLEAN,eng_Latn-0024,eng_Latn,CLEAN,False,False,,True
eng_Latn-0024-ENTITY_SHIFT,eng_Latn-0024,eng_Latn,ENTITY_SHIFT,True,True,VENDOR_ID_DRIFT,True
eng_Latn-0024-TEMPORAL_SHIFT,eng_Latn-0024,eng_Latn,TEMPORAL_SHIFT,True,True,MONTH_DRIFT,True
eng_Latn-0024-VALUE_SHIFT,eng_Latn-0024,eng_Latn,VALUE_SHIFT,True,True,AMOUNT_DRIFT,True
eng_Latn-0024-NEGATION_DROP,eng_Latn-0024,eng_Latn,NEGATION_DROP,True,True,NEGATION_DROP,True
eng_Latn-0024-QUANTIFIER_DROP,eng_Latn-0024,eng_Latn,QUANTIFIER_DROP,True,True,QUANTIFIER_DRIFT,True
eng_Latn-0024-HALLUCINATED_CRITICAL_SLOT,eng_Latn-0024,eng_Latn,HALLUCINATED_CRITICAL_SLOT,True,True,HALLUCINATED_RECIPIENT,True
eng_Latn-0025-CLEAN,eng_Latn-0025,eng_Latn,CLEAN,False,False,,True
eng_Latn-0025-ENTITY_SHIFT,eng_Latn-0025,eng_Latn,ENTITY_SHIFT,True,True,VENDOR_ID_DRIFT,True
eng_Latn-0025-TEMPORAL_SHIFT,eng_Latn-0025,eng_Latn,TEMPORAL_SHIFT,True,True,MONTH_DRIFT,True
eng_Latn-0025-VALUE_SHIFT,eng_Latn-0025,eng_Latn,VALUE_SHIFT,True,True,AMOUNT_DRIFT,True
eng_Latn-0025-NEGATION_DROP,eng_Latn-0025,eng_Latn,NEGATION_DROP,True,True,NEGATION_DROP,True
eng_Latn-0025-QUANTIFIER_DROP,eng_Latn-0025,eng_Latn,QUANTIFIER_DROP,True,True,QUANTIFIER_DRIFT,True
eng_Latn-0025-HALLUCINATED_CRITICAL_SLOT,eng_Latn-0025,eng_Latn,HALLUCINATED_CRITICAL_SLOT,True,True,HALLUCINATED_RECIPIENT,True
eng_Latn-0026-CLEAN,eng_Latn-0026,eng_Latn,CLEAN,False,False,,True
eng_Latn-0026-ENTITY_SHIFT,eng_Latn-0026,eng_Latn,ENTITY_SHIFT,True,True,VENDOR_ID_DRIFT,True
eng_Latn-0026-TEMPORAL_SHIFT,eng_Latn-0026,eng_Latn,TEMPORAL_SHIFT,True,True,MONTH_DRIFT,True
eng_Latn-0026-VALUE_SHIFT,eng_Latn-0026,eng_Latn,VALUE_SHIFT,True,True,AMOUNT_DRIFT,True
eng_Latn-0026-NEGATION_DROP,eng_Latn-0026,eng_Latn,NEGATION_DROP,True,True,NEGATION_DROP,True
eng_Latn-0026-QUANTIFIER_DROP,eng_Latn-0026,eng_Latn,QUANTIFIER_DROP,True,True,QUANTIFIER_DRIFT,True
eng_Latn-0026-HALLUCINATED_CRITICAL_SLOT,eng_Latn-0026,eng_Latn,HALLUCINATED_CRITICAL_SLOT,True,True,HALLUCINATED_RECIPIENT,True
eng_Latn-0027-CLEAN,eng_Latn-0027,eng_Latn,CLEAN,False,False,,True
eng_Latn-0027-ENTITY_SHIFT,eng_Latn-0027,eng_Latn,ENTITY_SHIFT,True,True,VENDOR_ID_DRIFT,True
eng_Latn-0027-TEMPORAL_SHIFT,eng_Latn-0027,eng_Latn,TEMPORAL_SHIFT,True,True,MONTH_DRIFT,True
eng_Latn-0027-VALUE_SHIFT,eng_Latn-0027,eng_Latn,VALUE_SHIFT,True,True,AMOUNT_DRIFT,True
eng_Latn-0027-NEGATION_DROP,eng_Latn-0027,eng_Latn,NEGATION_DROP,True,True,NEGATION_DROP,True
eng_Latn-0027-QUANTIFIER_DROP,eng_Latn-0027,eng_Latn,QUANTIFIER_DROP,True,True,QUANTIFIER_DRIFT,True
eng_Latn-0027-HALLUCINATED_CRITICAL_SLOT,eng_Latn-0027,eng_Latn,HALLUCINATED_CRITICAL_SLOT,True,True,HALLUCINATED_RECIPIENT,True
eng_Latn-0028-CLEAN,eng_Latn-0028,eng_Latn,CLEAN,False,False,,True
eng_Latn-0028-ENTITY_SHIFT,eng_Latn-0028,eng_Latn,ENTITY_SHIFT,True,True,VENDOR_ID_DRIFT,True
eng_Latn-0028-TEMPORAL_SHIFT,eng_Latn-0028,eng_Latn,TEMPORAL_SHIFT,True,True,MONTH_DRIFT,True
eng_Latn-0028-VALUE_SHIFT,eng_Latn-0028,eng_Latn,VALUE_SHIFT,True,True,AMOUNT_DRIFT,True
