case_id,group_id,language,relation,raw_text,gold_contract,candidate_contract,expected_block
eng_Latn-0001-VALUE_SHIFT,eng_Latn-0001,eng_Latn,VALUE_SHIFT,do not archive only invoices for vendor 7712 for june 2025 with amount INR 10000.,"{""AMOUNT"": 10000, ""CURRENCY"": ""INR"", ""MONTH"": 6, ""NEGATED"": true, ""QUANTIFIER"": ""ONLY"", ""VENDOR_ID"": 7712, ""YEAR"": 2025}","{""AMOUNT"": 15000, ""CURRENCY"": ""INR"", ""MONTH"": 6, ""NEGATED"": true, ""QUANTIFIER"": ""ONLY"", ""VENDOR_ID"": 7712, ""YEAR"": 2025}",True
eng_Latn-0001-NEGATION_DROP,eng_Latn-0001,eng_Latn,NEGATION_DROP,do not archive only invoices for vendor 7712 for june 2025 with amount INR 10000.,"{""AMOUNT"": 10000, ""CURRENCY"": ""INR"", ""MONTH"": 6, ""NEGATED"": true, ""QUANTIFIER"": ""ONLY"", ""VENDOR_ID"": 7712, ""YEAR"": 2025}","{""AMOUNT"": 10000, ""CURRENCY"": ""INR"", ""MONTH"": 6, ""NEGATED"": false, ""QUANTIFIER"": ""ONLY"", ""VENDOR_ID"": 7712, ""YEAR"": 2025}",True
eng_Latn-0001-QUANTIFIER_DROP,eng_Latn-0001,eng_Latn,QUANTIFIER_DROP,do not archive only invoices for vendor 7712 for june 2025 with amount INR 10000.,"{""AMOUNT"": 10000, ""CURRENCY"": ""INR"", ""MONTH"": 6, ""NEGATED"": true, ""QUANTIFIER"": ""ONLY"", ""VENDOR_ID"": 7712, ""YEAR"": 2025}","{""AMOUNT"": 10000, ""CURRENCY"": ""INR"", ""MONTH"": 6, ""NEGATED"": true, ""QUANTIFIER"": ""MATCHING"", ""VENDOR_ID"": 7712, ""YEAR"": 2025}",True
eng_Latn-0001-HALLUCINATED_CRITICAL_SLOT,eng_Latn-0001,eng_Latn,HALLUCINATED_CRITICAL_SLOT,do not archive only invoices for vendor 7712 for june 2025 with amount INR 10000.,"{""AMOUNT"": 10000, ""CURRENCY"": ""INR"", ""MONTH"": 6, ""NEGATED"": true, ""QUANTIFIER"": ""ONLY"", ""VENDOR_ID"": 7712, ""YEAR"": 2025}","{""AMOUNT"": 10000, ""CURRENCY"": ""INR"", ""MONTH"": 6, ""NEGATED"": true, ""QUANTIFIER"": ""ONLY"", ""RECIPIENT_ID"": ""R880"", ""VENDOR_ID"": 7712, ""YEAR"": 2025}",True
eng_Latn-0002-CLEAN,eng_Latn-0002,eng_Latn,CLEAN,do not archive only invoices for vendor 5417 for september 2024 with amount INR 25000.,"{""AMOUNT"": 25000, ""CURRENCY"": ""INR"", ""MONTH"": 9, ""NEGATED"": true, ""QUANTIFIER"": ""ONLY"", ""VENDOR_ID"": 5417, ""YEAR"": 2024}","{""AMOUNT"": 25000, ""CURRENCY"": ""INR"", ""MONTH"": 9, ""NEGATED"": true, ""QUANTIFIER"": ""ONLY"", ""VENDOR_ID"": 5417, ""YEAR"": 2024}",False
eng_Latn-0002-ENTITY_SHIFT,eng_Latn-0002,eng_Latn,ENTITY_SHIFT,do not archive only invoices for vendor 5417 for september 2024 with amount INR 25000.,"{""AMOUNT"": 25000, ""CURRENCY"": ""INR"", ""MONTH"": 9, ""NEGATED"": true, ""QUANTIFIER"": ""ONLY"", ""VENDOR_ID"": 5417, ""YEAR"": 2024}","{""AMOUNT"": 25000, ""CURRENCY"": ""INR"", ""MONTH"": 9, ""NEGATED"": true, ""QUANTIFIER"": ""ONLY"", ""VENDOR_ID"": 5424, ""YEAR"": 2024}",True
eng_Latn-0002-TEMPORAL_SHIFT,eng_Latn-0002,eng_Latn,TEMPORAL_SHIFT,do not archive only invoices for vendor 5417 for september 2024 with amount INR 25000.,"{""AMOUNT"": 25000, ""CURRENCY"": ""INR"", ""MONTH"": 9, ""NEGATED"": true, ""QUANTIFIER"": ""ONLY"", ""VENDOR_ID"": 5417, ""YEAR"": 2024}","{""AMOUNT"": 25000, ""CURRENCY"": ""INR"", ""MONTH"": 10, ""NEGATED"": true, ""QUANTIFIER"": ""ONLY"", ""VENDOR_ID"": 5417, ""YEAR"": 2024}",True
eng_Latn-0002-VALUE_SHIFT,eng_Latn-0002,eng_Latn,VALUE_SHIFT,do not archive only invoices for vendor 5417 for september 2024 with amount INR 25000.,"{""AMOUNT"": 25000, ""CURRENCY"": ""INR"", ""MONTH"": 9, ""NEGATED"": true, ""QUANTIFIER"": ""ONLY"", ""VENDOR_ID"": 5417, ""YEAR"": 2024}","{""AMOUNT"": 25500, ""CURRENCY"": ""INR"", ""MONTH"": 9, ""NEGATED"": true, ""QUANTIFIER"": ""ONLY"", ""VENDOR_ID"": 5417, ""YEAR"": 2024}",True
eng_Latn-0002-NEGATION_DROP,eng_Latn-0002,eng_Latn,NEGATION_DROP,do not archive only invoices for vendor 5417 for september 2024 with amount INR 25000.,"{""AMOUNT"": 25000, ""CURRENCY"": ""INR"", ""MONTH"": 9, ""NEGATED"": true, ""QUANTIFIER"": ""ONLY"", ""VENDOR_ID"": 5417, ""YEAR"": 2024}","{""AMOUNT"": 25000, ""CURRENCY"": ""INR"", ""MONTH"": 9, ""NEGATED"": false, ""QUANTIFIER"": ""ONLY"", ""VENDOR_ID"": 5417, ""YEAR"": 2024}",True
eng_Latn-0002-QUANTIFIER_DROP,eng_Latn-0002,eng_Latn,QUANTIFIER_DROP,do not archive only invoices for vendor 5417 for september 2024 with amount INR 25000.,"{""AMOUNT"": 25000, ""CURRENCY"": ""INR"", ""MONTH"": 9, ""NEGATED"": true, ""QUANTIFIER"": ""ONLY"", ""VENDOR_ID"": 5417, ""YEAR"": 2024}","{""AMOUNT"": 25000, ""CURRENCY"": ""INR"", ""MONTH"": 9, ""NEGATED"": true, ""QUANTIFIER"": ""MATCHING"", ""VENDOR_ID"": 5417, ""YEAR"": 2024}",True
eng_Latn-0002-HALLUCINATED_CRITICAL_SLOT,eng_Latn-0002,eng_Latn,HALLUCINATED_CRITICAL_SLOT,do not archive only invoices for vendor 5417 for september 2024 with amount INR 25000.,"{""AMOUNT"": 25000, ""CURRENCY"": ""INR"", ""MONTH"": 9, ""NEGATED"": true, ""QUANTIFIER"": ""ONLY"", ""VENDOR_ID"": 5417, ""YEAR"": 2024}","{""AMOUNT"": 25000, ""CURRENCY"": ""INR"", ""MONTH"": 9, ""NEGATED"": true, ""QUANTIFIER"": ""ONLY"", ""RECIPIENT_ID"": ""R707"", ""VENDOR_ID"": 5417, ""YEAR"": 2024}",True
eng_Latn-0003-CLEAN,eng_Latn-0003,eng_Latn,CLEAN,do not archive all invoices for vendor 9769 for november 2026 with amount INR 25000.,"{""AMOUNT"": 25000, ""CURRENCY"": ""INR"", ""MONTH"": 11, ""NEGATED"": true, ""QUANTIFIER"": ""ALL"", ""VENDOR_ID"": 9769, ""YEAR"": 2026}","{""AMOUNT"": 25000, ""CURRENCY"": ""INR"", ""MONTH"": 11, ""NEGATED"": true, ""QUANTIFIER"": ""ALL"", ""VENDOR_ID"": 9769, ""YEAR"": 2026}",False
eng_Latn-0003-ENTITY_SHIFT,eng_Latn-0003,eng_Latn,ENTITY_SHIFT,do not archive all invoices for vendor 9769 for november 2026 with amount INR 25000.,"{""AMOUNT"": 25000, ""CURRENCY"": ""INR"", ""MONTH"": 11, ""NEGATED"": true, ""QUANTIFIER"": ""ALL"", ""VENDOR_ID"": 9769, ""YEAR"": 2026}","{""AMOUNT"": 25000, ""CURRENCY"": ""INR"", ""MONTH"": 11, ""NEGATED"": true, ""QUANTIFIER"": ""ALL"", ""VENDOR_ID"": 9870, ""YEAR"": 2026}",True
eng_Latn-0003-TEMPORAL_SHIFT,eng_Latn-0003,eng_Latn,TEMPORAL_SHIFT,do not archive all invoices for vendor 9769 for november 2026 with amount INR 25000.,"{""AMOUNT"": 25000, ""CURRENCY"": ""INR"", ""MONTH"": 11, ""NEGATED"": true, ""QUANTIFIER"": ""ALL"", ""VENDOR_ID"": 9769, ""YEAR"": 2026}","{""AMOUNT"": 25000, ""CURRENCY"": ""INR"", ""MONTH"": 12, ""NEGATED"": true, ""QUANTIFIER"": ""ALL"", ""VENDOR_ID"": 9769, ""YEAR"": 2026}",True
eng_Latn-0003-VALUE_SHIFT,eng_Latn-0003,eng_Latn,VALUE_SHIFT,do not archive all invoices for vendor 9769 for november 2026 with amount INR 25000.,"{""AMOUNT"": 25000, ""CURRENCY"": ""INR"", ""MONTH"": 11, ""NEGATED"": true, ""QUANTIFIER"": ""ALL"", ""VENDOR_ID"": 9769, ""YEAR"": 2026}","{""AMOUNT"": 30000, ""CURRENCY"": ""INR"", ""MONTH"": 11, ""NEGATED"": true, ""QUANTIFIER"": ""ALL"", ""VENDOR_ID"": 9769, ""YEAR"": 2026}",True
eng_Latn-0003-NEGATION_DROP,eng_Latn-0003,eng_Latn,NEGATION_DROP,do not archive all invoices for vendor 9769 for november 2026 with amount INR 25000.,"{""AMOUNT"": 25000, ""CURRENCY"": ""INR"", ""MONTH"": 11, ""NEGATED"": true, ""QUANTIFIER"": ""ALL"", ""VENDOR_ID"": 9769, ""YEAR"": 2026}","{""AMOUNT"": 25000, ""CURRENCY"": ""INR"", ""MONTH"": 11, ""NEGATED"": false, ""QUANTIFIER"": ""ALL"", ""VENDOR_ID"": 9769, ""YEAR"": 2026}",True
eng_Latn-0003-QUANTIFIER_DROP,eng_Latn-0003,eng_Latn,QUANTIFIER_DROP,do not archive all invoices for vendor 9769 for november 2026 with amount INR 25000.,"{""AMOUNT"": 25000, ""CURRENCY"": ""INR"", ""MONTH"": 11, ""NEGATED"": true, ""QUANTIFIER"": ""ALL"", ""VENDOR_ID"": 9769, ""YEAR"": 2026}","{""AMOUNT"": 25000, ""CURRENCY"": ""INR"", ""MONTH"": 11, ""NEGATED"": true, ""QUANTIFIER"": ""MATCHING"", ""VENDOR_ID"": 9769, ""YEAR"": 2026}",True
eng_Latn-0003-HALLUCINATED_CRITICAL_SLOT,eng_Latn-0003,eng_Latn,HALLUCINATED_CRITICAL_SLOT,do not archive all invoices for vendor 9769 for november 2026 with amount INR 25000.,"{""AMOUNT"": 25000, ""CURRENCY"": ""INR"", ""MONTH"": 11, ""NEGATED"": true, ""QUANTIFIER"": ""ALL"", ""VENDOR_ID"": 9769, ""YEAR"": 2026}","{""AMOUNT"": 25000, ""CURRENCY"": ""INR"", ""MONTH"": 11, ""NEGATED"": true, ""QUANTIFIER"": ""ALL"", ""RECIPIENT_ID"": ""R662"", ""VENDOR_ID"": 9769, ""YEAR"": 2026}",True
eng_Latn-0004-CLEAN,eng_Latn-0004,eng_Latn,CLEAN,do not archive only invoices for vendor 6204 for august 2024 with amount INR 25000.,"{""AMOUNT"": 25000, ""CURRENCY"": ""INR"", ""MONTH"": 8, ""NEGATED"": true, ""QUANTIFIER"": ""ONLY"", ""VENDOR_ID"": 6204, ""YEAR"": 2024}","{""AMOUNT"": 25000, ""CURRENCY"": ""INR"", ""MONTH"": 8, ""NEGATED"": true, ""QUANTIFIER"": ""ONLY"", ""VENDOR_ID"": 6204, ""YEAR"": 2024}",False
eng_Latn-0004-ENTITY_SHIFT,eng_Latn-0004,eng_Latn,ENTITY_SHIFT,do not archive only invoices for vendor 6204 for august 2024 with amount INR 25000.,"{""AMOUNT"": 25000, ""CURRENCY"": ""INR"", ""MONTH"": 8, ""NEGATED"": true, ""QUANTIFIER"": ""ONLY"", ""VENDOR_ID"": 6204, ""YEAR"": 2024}","{""AMOUNT"": 25000, ""CURRENCY"": ""INR"", ""MONTH"": 8, ""NEGATED"": true, ""QUANTIFIER"": ""ONLY"", ""VENDOR_ID"": 6305, ""YEAR"": 2024}",True
eng_Latn-0004-TEMPORAL_SHIFT,eng_Latn-0004,eng_Latn,TEMPORAL_SHIFT,do not archive only invoices for vendor 6204 for august 2024 with amount INR 25000.,"{""AMOUNT"": 25000, ""CURRENCY"": ""INR"", ""MONTH"": 8, ""NEGATED"": true, ""QUANTIFIER"": ""ONLY"", ""VENDOR_ID"": 6204, ""YEAR"": 2024}","{""AMOUNT"": 25000, ""CURRENCY"": ""INR"", ""MONTH"": 9, ""NEGATED"": true, ""QUANTIFIER"": ""ONLY"", ""VENDOR_ID"": 6204, ""YEAR"": 2024}",True
eng_Latn-0004-VALUE_SHIFT,eng_Latn-0004,eng_Latn,VALUE_SHIFT,do not archive only invoices for vendor 6204 for august 2024 with amount INR 25000.,"{""AMOUNT"": 25000, ""CURRENCY"": ""INR"", ""MONTH"": 8, ""NEGATED"": true, ""QUANTIFIER"": ""ONLY"", ""VENDOR_ID"": 6204, ""YEAR"": 2024}","{""AMOUNT"": 25500, ""CURRENCY"": ""INR"", ""MONTH"": 8, ""NEGATED"": true, ""QUANTIFIER"": ""ONLY"", ""VENDOR_ID"": 6204, ""YEAR"": 2024}",True
eng_Latn-0004-NEGATION_DROP,eng_Latn-0004,eng_Latn,NEGATION_DROP,do not archive only invoices for vendor 6204 for august 2024 with amount INR 25000.,"{""AMOUNT"": 25000, ""CURRENCY"": ""INR"", ""MONTH"": 8, ""NEGATED"": true, ""QUANTIFIER"": ""ONLY"", ""VENDOR_ID"": 6204, ""YEAR"": 2024}","{""AMOUNT"": 25000, ""CURRENCY"": ""INR"", ""MONTH"": 8, ""NEGATED"": false, ""QUANTIFIER"": ""ONLY"", ""VENDOR_ID"": 6204, ""YEAR"": 2024}",True
eng_Latn-0004-QUANTIFIER_DROP,eng_Latn-0004,eng_Latn,QUANTIFIER_DROP,do not archive only invoices for vendor 6204 for august 2024 with amount INR 25000.,"{""AMOUNT"": 25000, ""CURRENCY"": ""INR"", ""MONTH"": 8, ""NEGATED"": true, ""QUANTIFIER"": ""ONLY"", ""VENDOR_ID"": 6204, ""YEAR"": 2024}","{""AMOUNT"": 25000, ""CURRENCY"": ""INR"", ""MONTH"": 8, ""NEGATED"": true, ""QUANTIFIER"": ""MATCHING"", ""VENDOR_ID"": 6204, ""YEAR"": 2024}",True
eng_Latn-0004-HALLUCINATED_CRITICAL_SLOT,eng_Latn-0004,eng_Latn,HALLUCINATED_CRITICAL_SLOT,do not archive only invoices for vendor 6204 for august 2024 with amount INR 25000.,"{""AMOUNT"": 25000, ""CURRENCY"": ""INR"", ""MONTH"": 8, ""NEGATED"": true, ""QUANTIFIER"": ""ONLY"", ""VENDOR_ID"": 6204, ""YEAR"": 2024}","{""AMOUNT"": 25000, ""CURRENCY"": ""INR"", ""MONTH"": 8, ""NEGATED"": true, ""QUANTIFIER"": ""ONLY"", ""RECIPIENT_ID"": ""R530"", ""VENDOR_ID"": 6204, ""YEAR"": 2024}",True
eng_Latn-0005-CLEAN,eng_Latn-0005,eng_Latn,CLEAN,do not archive only invoices for vendor 3265 for october 2025 with amount INR 5000.,"{""AMOUNT"": 5000, ""CURRENCY"": ""INR"", ""MONTH"": 10, ""NEGATED"": true, ""QUANTIFIER"": ""ONLY"", ""VENDOR_ID"": 3265, ""YEAR"": 2025}","{""AMOUNT"": 5000, ""CURRENCY"": ""INR"", ""MONTH"": 10, ""NEGATED"": true, ""QUANTIFIER"": ""ONLY"", ""VENDOR_ID"": 3265, ""YEAR"": 2025}",False
eng_Latn-0005-ENTITY_SHIFT,eng_Latn-0005,eng_Latn,ENTITY_SHIFT,do not archive only invoices for vendor 3265 for october 2025 with amount INR 5000.,"{""AMOUNT"": 5000, ""CURRENCY"": ""INR"", ""MONTH"": 10, ""NEGATED"": true, ""QUANTIFIER"": ""ONLY"", ""VENDOR_ID"": 3265, ""YEAR"": 2025}","{""AMOUNT"": 5000, ""CURRENCY"": ""INR"", ""MONTH"": 10, ""NEGATED"": true, ""QUANTIFIER"": ""ONLY"", ""VENDOR_ID"": 3272, ""YEAR"": 2025}",True
eng_Latn-0005-TEMPORAL_SHIFT,eng_Latn-0005,eng_Latn,TEMPORAL_SHIFT,do not archive only invoices for vendor 3265 for october 2025 with amount INR 5000.,"{""AMOUNT"": 5000, ""CURRENCY"": ""INR"", ""MONTH"": 10, ""NEGATED"": true, ""QUANTIFIER"": ""ONLY"", ""VENDOR_ID"": 3265, ""YEAR"": 2025}","{""AMOUNT"": 5000, ""CURRENCY"": ""INR"", ""MONTH"": 11, ""NEGATED"": true, ""QUANTIFIER"": ""ONLY"", ""VENDOR_ID"": 3265, ""YEAR"": 2025}",True
eng_Latn-0005-VALUE_SHIFT,eng_Latn-0005,eng_Latn,VALUE_SHIFT,do not archive only invoices for vendor 3265 for october 2025 with amount INR 5000.,"{""AMOUNT"": 5000, ""CURRENCY"": ""INR"", ""MONTH"": 10, ""NEGATED"": true, ""QUANTIFIER"": ""ONLY"", ""VENDOR_ID"": 3265, ""YEAR"": 2025}","{""AMOUNT"": 10000, ""CURRENCY"": ""INR"", ""MONTH"": 10, ""NEGATED"": true, ""QUANTIFIER"": ""ONLY"", ""VENDOR_ID"": 3265, ""YEAR"": 2025}",True
eng_Latn-0005-NEGATION_DROP,eng_Latn-0005,eng_Latn,NEGATION_DROP,do not archive only invoices for vendor 3265 for october 2025 with amount INR 5000.,"{""AMOUNT"": 5000, ""CURRENCY"": ""INR"", ""MONTH"": 10, ""NEGATED"": true, ""QUANTIFIER"": ""ONLY"", ""VENDOR_ID"": 3265, ""YEAR"": 2025}","{""AMOUNT"": 5000, ""CURRENCY"": ""INR"", ""MONTH"": 10, ""NEGATED"": false, ""QUANTIFIER"": ""ONLY"", ""VENDOR_ID"": 3265, ""YEAR"": 2025}",True
eng_Latn-0005-QUANTIFIER_DROP,eng_Latn-0005,eng_Latn,QUANTIFIER_DROP,do not archive only invoices for vendor 3265 for october 2025 with amount INR 5000.,"{""AMOUNT"": 5000, ""CURRENCY"": ""INR"", ""MONTH"": 10, ""NEGATED"": true, ""QUANTIFIER"": ""ONLY"", ""VENDOR_ID"": 3265, ""YEAR"": 2025}","{""AMOUNT"": 5000, ""CURRENCY"": ""INR"", ""MONTH"": 10, ""NEGATED"": true, ""QUANTIFIER"": ""MATCHING"", ""VENDOR_ID"": 3265, ""YEAR"": 2025}",True
eng_Latn-0005-HALLUCINATED_CRITICAL_SLOT,eng_Latn-0005,eng_Latn,HALLUCINATED_CRITICAL_SLOT,do not archive only invoices for vendor 3265 for october 2025 with amount INR 5000.,"{""AMOUNT"": 5000, ""CURRENCY"": ""INR"", ""MONTH"": 10, ""NEGATED"": true, ""QUANTIFIER"": ""ONLY"", ""VENDOR_ID"": 3265, ""YEAR"": 2025}","{""AMOUNT"": 5000, ""CURRENCY"": ""INR"", ""MONTH"": 10, ""NEGATED"": true, ""QUANTIFIER"": ""ONLY"", ""RECIPIENT_ID"": ""R763"", ""VENDOR_ID"": 3265, ""YEAR"": 2025}",True
eng_Latn-0006-CLEAN,eng_Latn-0006,eng_Latn,CLEAN,do not archive all invoices for vendor 1909 for september 2024 with amount INR 50000.,"{""AMOUNT"": 50000, ""CURRENCY"": ""INR"", ""MONTH"": 9, ""NEGATED"": true, ""QUANTIFIER"": ""ALL"", ""VENDOR_ID"": 1909, ""YEAR"": 2024}","{""AMOUNT"": 50000, ""CURRENCY"": ""INR"", ""MONTH"": 9, ""NEGATED"": true, ""QUANTIFIER"": ""ALL"", ""VENDOR_ID"": 1909, ""YEAR"": 2024}",False
eng_Latn-0006-ENTITY_SHIFT,eng_Latn-0006,eng_Latn,ENTITY_SHIFT,do not archive all invoices for vendor 1909 for september 2024 with amount INR 50000.,"{""AMOUNT"": 50000, ""CURRENCY"": ""INR"", ""MONTH"": 9, ""NEGATED"": true, ""QUANTIFIER"": ""ALL"", ""VENDOR_ID"": 1909, ""YEAR"": 2024}","{""AMOUNT"": 50000, ""CURRENCY"": ""INR"", ""MONTH"": 9, ""NEGATED"": true, ""QUANTIFIER"": ""ALL"", ""VENDOR_ID"": 1910, ""YEAR"": 2024}",True
eng_Latn-0006-TEMPORAL_SHIFT,eng_Latn-0006,eng_Latn,TEMPORAL_SHIFT,do not archive all invoices for vendor 1909 for september 2024 with amount INR 50000.,"{""AMOUNT"": 50000, ""CURRENCY"": ""INR"", ""MONTH"": 9, ""NEGATED"": true, ""QUANTIFIER"": ""ALL"", ""VENDOR_ID"": 1909, ""YEAR"": 2024}","{""AMOUNT"": 50000, ""CURRENCY"": ""INR"", ""MONTH"": 10, ""NEGATED"": true, ""QUANTIFIER"": ""ALL"", ""VENDOR_ID"": 1909, ""YEAR"": 2024}",True
eng_Latn-0006-VALUE_SHIFT,eng_Latn-0006,eng_Latn,VALUE_SHIFT,do not archive all invoices for vendor 1909 for september 2024 with amount INR 50000.,"{""AMOUNT"": 50000, ""CURRENCY"": ""INR"", ""MONTH"": 9, ""NEGATED"": true, ""QUANTIFIER"": ""ALL"", ""VENDOR_ID"": 1909, ""YEAR"": 2024}","{""AMOUNT"": 50500, ""CURRENCY"": ""INR"", ""MONTH"": 9, ""NEGATED"": true, ""QUANTIFIER"": ""ALL"", ""VENDOR_ID"": 1909, ""YEAR"": 2024}",True
eng_Latn-0006-NEGATION_DROP,eng_Latn-0006,eng_Latn,NEGATION_DROP,do not archive all invoices for vendor 1909 for september 2024 with amount INR 50000.,"{""AMOUNT"": 50000, ""CURRENCY"": ""INR"", ""MONTH"": 9, ""NEGATED"": true, ""QUANTIFIER"": ""ALL"", ""VENDOR_ID"": 1909, ""YEAR"": 2024}","{""AMOUNT"": 50000, ""CURRENCY"": ""INR"", ""MONTH"": 9, ""NEGATED"": false, ""QUANTIFIER"": ""ALL"", ""VENDOR_ID"": 1909, ""YEAR"": 2024}",True
