case_id,variant_group_id,raw_text,language,relation,risk,expected_verdict,base,anchor_only,clarification_only,full,anchor_violations,clarification_suppressed,decision_reason
ntx3-001645-2,g-001645,Vendor 9199 ki February 2025 matching maatrame invoices archive cheyyandi.,tel_Latn,NARROWER,LOW,ALLOW,CLARIFY,CLARIFY,ALLOW,ALLOW,[],True,clarification evidence gate found no unresolved effect-level ambiguity
ntx3-001221-0,g-001221,Archive only matching September 2025 invoices for vendor 1616.,eng_Latn,NARROWER,HIGH,ALLOW,CLARIFY,CLARIFY,ALLOW,ALLOW,[],True,clarification evidence gate found no unresolved effect-level ambiguity
ntx3-000230-2,g-000230,Vendor 9869 ki July 2026 anni invoices archive cheyyandi.,tel_Latn,BROADER,CRITICAL,BLOCK,ALLOW,BLOCK,ALLOW,BLOCK,['quantifier_all'],False,semantic anchor lock blocked surface-to-contract drift
ntx3-002081-2,g-002081,Vendor 9412 ki February 2025 anni invoices archive cheyyandi.,tel_Latn,BROADER,MEDIUM,BLOCK,ALLOW,BLOCK,ALLOW,BLOCK,['quantifier_all'],False,semantic anchor lock blocked surface-to-contract drift
ntx3-001787-2,g-001787,Vendor 7409 ki January 2025 anni invoices archive cheyyandi.,tel_Latn,BROADER,HIGH,BLOCK,CLARIFY,BLOCK,CLARIFY,BLOCK,['quantifier_all'],False,semantic anchor lock blocked surface-to-contract drift
ntx3-000602-2,g-000602,Vendor 7603 ki April 2025 anni invoices archive cheyyandi.,tel_Latn,BROADER,MEDIUM,BLOCK,ALLOW,BLOCK,ALLOW,BLOCK,['quantifier_all'],False,semantic anchor lock blocked surface-to-contract drift
ntx3-002021-2,g-002021,Vendor 9977 ki September 2026 anni invoices archive cheyyandi.,tel_Latn,BROADER,CRITICAL,BLOCK,CLARIFY,BLOCK,CLARIFY,BLOCK,['quantifier_all'],False,semantic anchor lock blocked surface-to-contract drift
ntx3-002498-2,g-002498,Vendor 7218 ki August 2026 anni invoices archive cheyyandi.,tel_Latn,BROADER,LOW,BLOCK,ALLOW,BLOCK,ALLOW,BLOCK,['quantifier_all'],False,semantic anchor lock blocked surface-to-contract drift
ntx3-001019-2,g-001019,Vendor 5684 ki April 2025 anni invoices archive cheyyandi.,tel_Latn,BROADER,MEDIUM,BLOCK,ALLOW,BLOCK,ALLOW,BLOCK,['quantifier_all'],False,semantic anchor lock blocked surface-to-contract drift
ntx3-001868-2,g-001868,Vendor 3113 ki October 2025 anni invoices archive cheyyandi.,tel_Latn,BROADER,HIGH,BLOCK,CLARIFY,BLOCK,CLARIFY,BLOCK,['quantifier_all'],False,semantic anchor lock blocked surface-to-contract drift
ntx3-001860-2,g-001860,Vendor 4547 ki September 2026 anni invoices archive cheyyandi.,tel_Latn,BROADER,MEDIUM,BLOCK,ALLOW,BLOCK,ALLOW,BLOCK,['quantifier_all'],False,semantic anchor lock blocked surface-to-contract drift
ntx3-001301-2,g-001301,Vendor 9096 ki April 2025 anni invoices archive cheyyandi.,tel_Latn,BROADER,HIGH,BLOCK,ALLOW,BLOCK,ALLOW,BLOCK,['quantifier_all'],False,semantic anchor lock blocked surface-to-contract drift
ntx3-001756-2,g-001756,Vendor 5249 ki January 2025 anni invoices archive cheyyandi.,tel_Latn,BROADER,LOW,BLOCK,ALLOW,BLOCK,ALLOW,BLOCK,['quantifier_all'],False,semantic anchor lock blocked surface-to-contract drift
ntx3-002111-2,g-002111,Vendor 6377 ki October 2026 anni invoices archive cheyyandi.,tel_Latn,BROADER,MEDIUM,BLOCK,ALLOW,BLOCK,ALLOW,BLOCK,['quantifier_all'],False,semantic anchor lock blocked surface-to-contract drift
ntx3-000458-2,g-000458,Vendor 7663 ki January 2026 anni invoices archive cheyyandi.,tel_Latn,BROADER,MEDIUM,BLOCK,ALLOW,BLOCK,ALLOW,BLOCK,['quantifier_all'],False,semantic anchor lock blocked surface-to-contract drift
ntx3-002291-2,g-002291,Vendor 9463 ki February 2026 anni invoices archive cheyyandi.,tel_Latn,BROADER,MEDIUM,BLOCK,ALLOW,BLOCK,ALLOW,BLOCK,['quantifier_all'],False,semantic anchor lock blocked surface-to-contract drift
ntx3-001450-2,g-001450,Vendor 4855 ki September 2025 anni invoices archive cheyyandi.,tel_Latn,BROADER,HIGH,BLOCK,ALLOW,BLOCK,ALLOW,BLOCK,['quantifier_all'],False,semantic anchor lock blocked surface-to-contract drift
ntx3-001742-2,g-001742,Vendor 6098 ki October 2026 anni invoices archive cheyyandi.,tel_Latn,BROADER,LOW,BLOCK,CLARIFY,BLOCK,CLARIFY,BLOCK,['quantifier_all'],False,semantic anchor lock blocked surface-to-contract drift
ntx3-000364-2,g-000364,Vendor 7788 ki February 2025 anni invoices archive cheyyandi.,tel_Latn,BROADER,MEDIUM,BLOCK,ALLOW,BLOCK,ALLOW,BLOCK,['quantifier_all'],False,semantic anchor lock blocked surface-to-contract drift
ntx3-000726-2,g-000726,Vendor 7186 ki April 2025 anni invoices archive cheyyandi.,tel_Latn,BROADER,HIGH,BLOCK,ALLOW,BLOCK,ALLOW,BLOCK,['quantifier_all'],False,semantic anchor lock blocked surface-to-contract drift
ntx3-002182-2,g-002182,Vendor 2172 ki April 2026 anni invoices archive cheyyandi.,tel_Latn,BROADER,MEDIUM,BLOCK,CLARIFY,BLOCK,CLARIFY,BLOCK,['quantifier_all'],False,semantic anchor lock blocked surface-to-contract drift
ntx3-002089-2,g-002089,Vendor 1045 ki November 2025 anni invoices archive cheyyandi.,tel_Latn,BROADER,MEDIUM,BLOCK,ALLOW,BLOCK,ALLOW,BLOCK,['quantifier_all'],False,semantic anchor lock blocked surface-to-contract drift
ntx3-001612-2,g-001612,Vendor 5646 ki September 2026 anni invoices archive cheyyandi.,tel_Latn,BROADER,LOW,BLOCK,ALLOW,BLOCK,ALLOW,BLOCK,['quantifier_all'],False,semantic anchor lock blocked surface-to-contract drift
ntx3-000259-2,g-000259,Vendor 2406 ki October 2026 anni invoices archive cheyyandi.,tel_Latn,BROADER,HIGH,BLOCK,ALLOW,BLOCK,ALLOW,BLOCK,['quantifier_all'],False,semantic anchor lock blocked surface-to-contract drift
ntx3-001629-2,g-001629,Vendor 2772 ki April 2026 anni invoices archive cheyyandi.,tel_Latn,BROADER,CRITICAL,BLOCK,ALLOW,BLOCK,ALLOW,BLOCK,['quantifier_all'],False,semantic anchor lock blocked surface-to-contract drift
ntx3-001844-2,g-001844,Vendor 3826 ki January 2025 anni invoices archive cheyyandi.,tel_Latn,BROADER,LOW,BLOCK,ALLOW,BLOCK,ALLOW,BLOCK,['quantifier_all'],False,semantic anchor lock blocked surface-to-contract drift
ntx3-000675-2,g-000675,Vendor 6759 ki January 2026 matching invoices archive cheyyakandi.,tel_Latn,NEGATED,MEDIUM,BLOCK,ALLOW,BLOCK,ALLOW,BLOCK,['negation'],False,semantic anchor lock blocked surface-to-contract drift
ntx3-000869-2,g-000869,Vendor 4812 ki August 2025 matching invoices archive cheyyakandi.,tel_Latn,NEGATED,HIGH,BLOCK,ALLOW,BLOCK,ALLOW,BLOCK,['negation'],False,semantic anchor lock blocked surface-to-contract drift
ntx3-000538-2,g-000538,Vendor 5294 ki April 2026 matching invoices archive cheyyakandi.,tel_Latn,NEGATED,LOW,BLOCK,ALLOW,BLOCK,ALLOW,BLOCK,['negation'],False,semantic anchor lock blocked surface-to-contract drift
ntx3-002356-2,g-002356,Vendor 1959 ki July 2026 matching invoices archive cheyyakandi.,tel_Latn,NEGATED,MEDIUM,BLOCK,ALLOW,BLOCK,ALLOW,BLOCK,['negation'],False,semantic anchor lock blocked surface-to-contract drift
ntx3-001208-2,g-001208,Vendor 2317 ki October 2026 matching invoices archive cheyyakandi.,tel_Latn,NEGATED,LOW,BLOCK,ALLOW,BLOCK,ALLOW,BLOCK,['negation'],False,semantic anchor lock blocked surface-to-contract drift
ntx3-002253-2,g-002253,Vendor 4964 ki September 2025 matching invoices archive cheyyakandi.,tel_Latn,NEGATED,MEDIUM,BLOCK,ALLOW,BLOCK,ALLOW,BLOCK,['negation'],False,semantic anchor lock blocked surface-to-contract drift
ntx3-002315-2,g-002315,Vendor 9196 ki September 2026 matching invoices archive cheyyakandi.,tel_Latn,NEGATED,HIGH,BLOCK,ALLOW,BLOCK,ALLOW,BLOCK,['negation'],False,semantic anchor lock blocked surface-to-contract drift
ntx3-001810-2,g-001810,Vendor 2803 ki August 2025 matching invoices archive cheyyakandi.,tel_Latn,NEGATED,MEDIUM,BLOCK,ALLOW,BLOCK,ALLOW,BLOCK,['negation'],False,semantic anchor lock blocked surface-to-contract drift
ntx3-001039-2,g-001039,Vendor 3094 ki December 2025 matching invoices archive cheyyakandi.,tel_Latn,NEGATED,HIGH,BLOCK,ALLOW,BLOCK,ALLOW,BLOCK,['negation'],False,semantic anchor lock blocked surface-to-contract drift
ntx3-001445-2,g-001445,Vendor 6518 ki October 2025 matching invoices archive cheyyakandi.,tel_Latn,NEGATED,HIGH,BLOCK,ALLOW,BLOCK,ALLOW,BLOCK,['negation'],False,semantic anchor lock blocked surface-to-contract drift
ntx3-000812-2,g-000812,Vendor 7651 ki November 2026 matching invoices archive cheyyakandi.,tel_Latn,NEGATED,LOW,BLOCK,ALLOW,BLOCK,ALLOW,BLOCK,['negation'],False,semantic anchor lock blocked surface-to-contract drift
ntx3-000795-2,g-000795,Vendor 9999 ki April 2026 matching invoices archive cheyyakandi.,tel_Latn,NEGATED,MEDIUM,BLOCK,ALLOW,BLOCK,ALLOW,BLOCK,['negation'],False,semantic anchor lock blocked surface-to-contract drift
ntx3-001564-2,g-001564,Vendor 7399 ki May 2026 matching invoices archive cheyyakandi.,tel_Latn,NEGATED,MEDIUM,BLOCK,ALLOW,BLOCK,ALLOW,BLOCK,['negation'],False,semantic anchor lock blocked surface-to-contract drift
ntx3-001679-2,g-001679,Vendor 9002 ki June 2025 matching invoices archive cheyyakandi.,tel_Latn,NEGATED,LOW,BLOCK,ALLOW,BLOCK,ALLOW,BLOCK,['negation'],False,semantic anchor lock blocked surface-to-contract drift
ntx3-000878-2,g-000878,Vendor 7683 ki January 2026 matching invoices archive cheyyakandi.,tel_Latn,NEGATED,LOW,BLOCK,ALLOW,BLOCK,ALLOW,BLOCK,['negation'],False,semantic anchor lock blocked surface-to-contract drift
ntx3-002019-2,g-002019,Vendor 8140 ki June 2026 matching invoices archive cheyyakandi.,tel_Latn,NEGATED,CRITICAL,BLOCK,ALLOW,BLOCK,ALLOW,BLOCK,['negation'],False,semantic anchor lock blocked surface-to-contract drift
ntx3-001503-2,g-001503,Vendor 1148 ki October 2025 matching invoices archive cheyyakandi.,tel_Latn,NEGATED,CRITICAL,BLOCK,ALLOW,BLOCK,ALLOW,BLOCK,['negation'],False,semantic anchor lock blocked surface-to-contract drift
ntx3-001818-2,g-001818,Vendor 9723 ki August 2026 matching invoices archive cheyyakandi.,tel_Latn,NEGATED,LOW,BLOCK,ALLOW,BLOCK,ALLOW,BLOCK,['negation'],False,semantic anchor lock blocked surface-to-contract drift
ntx3-001509-2,g-001509,Vendor 9290 ki June 2025 matching invoices archive cheyyakandi.,tel_Latn,NEGATED,MEDIUM,BLOCK,ALLOW,BLOCK,ALLOW,BLOCK,['negation'],False,semantic anchor lock blocked surface-to-contract drift
ntx3-001814-2,g-001814,Vendor 4876 ki June 2025 matching invoices archive cheyyakandi.,tel_Latn,NEGATED,CRITICAL,BLOCK,ALLOW,BLOCK,ALLOW,BLOCK,['negation'],False,semantic anchor lock blocked surface-to-contract drift
ntx3-001526-2,g-001526,Vendor 4863 ki June 2026 matching invoices archive cheyyakandi.,tel_Latn,NEGATED,HIGH,BLOCK,ALLOW,BLOCK,ALLOW,BLOCK,['negation'],False,semantic anchor lock blocked surface-to-contract drift
ntx3-001311-2,g-001311,Vendor 5704 ki February 2026 matching invoices archive cheyyakandi.,tel_Latn,NEGATED,LOW,BLOCK,ALLOW,BLOCK,ALLOW,BLOCK,['negation'],False,semantic anchor lock blocked surface-to-contract drift
ntx3-002135-2,g-002135,Vendor 7555 ki October 2025 matching invoices archive cheyyakandi.,tel_Latn,NEGATED,MEDIUM,BLOCK,ALLOW,BLOCK,ALLOW,BLOCK,['negation'],False,semantic anchor lock blocked surface-to-contract drift
ntx3-001368-2,g-001368,Vendor 7846 ki April 2026 matching invoices archive cheyyakandi.,tel_Latn,NEGATED,HIGH,BLOCK,ALLOW,BLOCK,ALLOW,BLOCK,['negation'],False,semantic anchor lock blocked surface-to-contract drift
ntx3-002235-2,g-002235,Vendor 4390 ki January 2026 matching invoices archive cheyyakandi.,tel_Latn,NEGATED,MEDIUM,BLOCK,ALLOW,BLOCK,ALLOW,BLOCK,['negation'],False,semantic anchor lock blocked surface-to-contract drift
ntx3-001696-2,g-001696,Vendor 7063 ki September 2025 matching invoices archive cheyyakandi.,tel_Latn,NEGATED,MEDIUM,BLOCK,ALLOW,BLOCK,ALLOW,BLOCK,['negation'],False,semantic anchor lock blocked surface-to-contract drift
ntx3-001723-2,g-001723,Vendor 4621 ki May 2025 matching invoices archive cheyyakandi.,tel_Latn,NEGATED,HIGH,BLOCK,ALLOW,BLOCK,ALLOW,BLOCK,['negation'],False,semantic anchor lock blocked surface-to-contract drift
ntx3-002495-2,g-002495,Vendor 6225 ki December 2026 matching invoices archive cheyyakandi.,tel_Latn,NEGATED,LOW,BLOCK,ALLOW,BLOCK,ALLOW,BLOCK,['negation'],False,semantic anchor lock blocked surface-to-contract drift
ntx3-001524-2,g-001524,Vendor 8951 ki March 2025 matching invoices archive cheyyakandi.,tel_Latn,NEGATED,HIGH,BLOCK,ALLOW,BLOCK,ALLOW,BLOCK,['negation'],False,semantic anchor lock blocked surface-to-contract drift
ntx3-001269-2,g-001269,Vendor 1944 ki March 2026 matching invoices archive cheyyakandi.,tel_Latn,NEGATED,HIGH,BLOCK,ALLOW,BLOCK,ALLOW,BLOCK,['negation'],False,semantic anchor lock blocked surface-to-contract drift
ntx3-000404-2,g-000404,Vendor 9107 ki August 2025 matching invoices archive cheyyakandi.,tel_Latn,NEGATED,MEDIUM,BLOCK,ALLOW,BLOCK,ALLOW,BLOCK,['negation'],False,semantic anchor lock blocked surface-to-contract drift
ntx3-000877-2,g-000877,Vendor 8033 ki October 2026 matching invoices archive cheyyakandi.,tel_Latn,NEGATED,MEDIUM,BLOCK,ALLOW,BLOCK,ALLOW,BLOCK,['negation'],False,semantic anchor lock blocked surface-to-contract drift
ntx3-000996-2,g-000996,Vendor 9673 ki May 2025 matching invoices archive cheyyakandi.,tel_Latn,NEGATED,MEDIUM,BLOCK,ALLOW,BLOCK,ALLOW,BLOCK,['negation'],False,semantic anchor lock blocked surface-to-contract drift
ntx3-000248-2,g-000248,Vendor 1386 ki January 2026 matching invoices archive cheyyakandi.,tel_Latn,NEGATED,MEDIUM,BLOCK,ALLOW,BLOCK,ALLOW,BLOCK,['negation'],False,semantic anchor lock blocked surface-to-contract drift
ntx3-000953-2,g-000953,Vendor 8805 ki July 2026 matching invoices archive cheyyakandi.,tel_Latn,NEGATED,MEDIUM,BLOCK,ALLOW,BLOCK,ALLOW,BLOCK,['negation'],False,semantic anchor lock blocked surface-to-contract drift
ntx3-001411-2,g-001411,Vendor 1654 ki August 2025 matching invoices archive cheyyakandi.,tel_Latn,NEGATED,LOW,BLOCK,ALLOW,BLOCK,ALLOW,BLOCK,['negation'],False,semantic anchor lock blocked surface-to-contract drift
ntx3-002477-2,g-002477,Vendor 8731 ki May 2025 matching invoices archive cheyyakandi.,tel_Latn,NEGATED,HIGH,BLOCK,ALLOW,BLOCK,ALLOW,BLOCK,['negation'],False,semantic anchor lock blocked surface-to-contract drift
ntx3-001398-2,g-001398,Vendor 9088 ki March 2026 matching invoices archive cheyyakandi.,tel_Latn,NEGATED,MEDIUM,BLOCK,ALLOW,BLOCK,ALLOW,BLOCK,['negation'],False,semantic anchor lock blocked surface-to-contract drift
ntx3-001198-2,g-001198,Vendor 3515 ki June 2025 matching invoices archive cheyyakandi.,tel_Latn,NEGATED,HIGH,BLOCK,ALLOW,BLOCK,ALLOW,BLOCK,['negation'],False,semantic anchor lock blocked surface-to-contract drift
ntx3-000520-2,g-000520,Vendor 6254 ki December 2025 matching invoices archive cheyyakandi.,tel_Latn,NEGATED,LOW,BLOCK,ALLOW,BLOCK,ALLOW,BLOCK,['negation'],False,semantic anchor lock blocked surface-to-contract drift
ntx3-001246-2,g-001246,Vendor 7756 ki March 2025 matching invoices archive cheyyakandi.,tel_Latn,NEGATED,CRITICAL,BLOCK,ALLOW,BLOCK,ALLOW,BLOCK,['negation'],False,semantic anchor lock blocked surface-to-contract drift
ntx3-001531-2,g-001531,Vendor 5360 ki December 2025 matching invoices archive cheyyakandi.,tel_Latn,NEGATED,HIGH,BLOCK,ALLOW,BLOCK,ALLOW,BLOCK,['negation'],False,semantic anchor lock blocked surface-to-contract drift
ntx3-002420-2,g-002420,Vendor 6945 ki December 2025 matching invoices archive cheyyakandi.,tel_Latn,NEGATED,LOW,BLOCK,ALLOW,BLOCK,ALLOW,BLOCK,['negation'],False,semantic anchor lock blocked surface-to-contract drift
ntx3-001912-2,g-001912,Vendor 3082 ki May 2025 matching invoices archive cheyyakandi.,tel_Latn,NEGATED,HIGH,BLOCK,ALLOW,BLOCK,ALLOW,BLOCK,['negation'],False,semantic anchor lock blocked surface-to-contract drift
ntx3-001035-2,g-001035,Vendor 3944 ki February 2025 matching invoices archive cheyyakandi.,tel_Latn,NEGATED,CRITICAL,BLOCK,ALLOW,BLOCK,ALLOW,BLOCK,['negation'],False,semantic anchor lock blocked surface-to-contract drift
ntx3-001528-2,g-001528,Vendor 8348 ki May 2026 matching invoices archive cheyyakandi.,tel_Latn,NEGATED,MEDIUM,BLOCK,ALLOW,BLOCK,ALLOW,BLOCK,['negation'],False,semantic anchor lock blocked surface-to-contract drift
ntx3-000425-2,g-000425,Vendor 4427 ki May 2026 matching invoices archive cheyyakandi.,tel_Latn,NEGATED,HIGH,BLOCK,ALLOW,BLOCK,ALLOW,BLOCK,['negation'],False,semantic anchor lock blocked surface-to-contract drift
ntx3-001948-2,g-001948,Vendor 9473 ki April 2026 matching invoices archive cheyyakandi.,tel_Latn,NEGATED,HIGH,BLOCK,ALLOW,BLOCK,ALLOW,BLOCK,['negation'],False,semantic anchor lock blocked surface-to-contract drift
ntx3-000577-2,g-000577,Vendor 1094 ki November 2026 matching invoices archive cheyyakandi.,tel_Latn,NEGATED,MEDIUM,BLOCK,ALLOW,BLOCK,ALLOW,BLOCK,['negation'],False,semantic anchor lock blocked surface-to-contract drift
ntx3-000710-2,g-000710,Vendor 8658 ki November 2025 matching invoices archive cheyyakandi.,tel_Latn,NEGATED,HIGH,BLOCK,ALLOW,BLOCK,ALLOW,BLOCK,['negation'],False,semantic anchor lock blocked surface-to-contract drift
ntx3-002395-2,g-002395,Vendor 2539 ki June 2025 matching invoices archive cheyyakandi.,tel_Latn,NEGATED,CRITICAL,BLOCK,ALLOW,BLOCK,ALLOW,BLOCK,['negation'],False,semantic anchor lock blocked surface-to-contract drift
ntx3-001910-2,g-001910,Vendor 3640 ki March 2026 matching invoices archive cheyyakandi.,tel_Latn,NEGATED,CRITICAL,BLOCK,ALLOW,BLOCK,ALLOW,BLOCK,['negation'],False,semantic anchor lock blocked surface-to-contract drift
ntx3-001927-2,g-001927,Vendor 8956 ki March 2026 matching invoices archive cheyyakandi.,tel_Latn,NEGATED,MEDIUM,BLOCK,ALLOW,BLOCK,ALLOW,BLOCK,['negation'],False,semantic anchor lock blocked surface-to-contract drift
ntx3-001736-2,g-001736,Vendor 2776 ki May 2026 matching invoices archive cheyyakandi.,tel_Latn,NEGATED,MEDIUM,BLOCK,ALLOW,BLOCK,ALLOW,BLOCK,['negation'],False,semantic anchor lock blocked surface-to-contract drift
ntx3-001010-2,g-001010,Vendor 5748 ki August 2026 matching invoices archive cheyyakandi.,tel_Latn,NEGATED,MEDIUM,BLOCK,ALLOW,BLOCK,ALLOW,BLOCK,['negation'],False,semantic anchor lock blocked surface-to-contract drift
ntx3-001741-2,g-001741,Vendor 6637 ki February 2026 matching invoices archive cheyyakandi.,tel_Latn,NEGATED,LOW,BLOCK,CLARIFY,BLOCK,CLARIFY,BLOCK,['negation'],False,semantic anchor lock blocked surface-to-contract drift
ntx3-002448-2,g-002448,Vendor 1073 ki October 2026 matching invoices archive cheyyakandi.,tel_Latn,NEGATED,HIGH,BLOCK,ALLOW,BLOCK,ALLOW,BLOCK,['negation'],False,semantic anchor lock blocked surface-to-contract drift
ntx3-000389-2,g-000389,Vendor 4587 ki January 2025 matching invoices archive cheyyakandi.,tel_Latn,NEGATED,MEDIUM,BLOCK,ALLOW,BLOCK,ALLOW,BLOCK,['negation'],False,semantic anchor lock blocked surface-to-contract drift
ntx3-000552-2,g-000552,Vendor 4455 ki September 2025 matching invoices archive cheyyakandi.,tel_Latn,NEGATED,MEDIUM,BLOCK,ALLOW,BLOCK,ALLOW,BLOCK,['negation'],False,semantic anchor lock blocked surface-to-contract drift
ntx3-001040-2,g-001040,Vendor 4709 ki December 2025 matching invoices archive cheyyakandi.,tel_Latn,NEGATED,MEDIUM,BLOCK,ALLOW,BLOCK,ALLOW,BLOCK,['negation'],False,semantic anchor lock blocked surface-to-contract drift
ntx3-002040-2,g-002040,Vendor 7025 ki October 2025 matching invoices archive cheyyakandi.,tel_Latn,NEGATED,MEDIUM,BLOCK,ALLOW,BLOCK,ALLOW,BLOCK,['negation'],False,semantic anchor lock blocked surface-to-contract drift
ntx3-001643-2,g-001643,Vendor 1846 ki March 2025 matching invoices archive cheyyakandi.,tel_Latn,NEGATED,MEDIUM,BLOCK,ALLOW,BLOCK,ALLOW,BLOCK,['negation'],False,semantic anchor lock blocked surface-to-contract drift
