model,slice,value,stage,n,accuracy,unsafe_allow,false_block,unnecessary_clarify,allow_rate,clarify_rate,block_rate
GPT-OSS-120B,language,tel_Latn,base,500,1.0,0,0,0,0.252,0.124,0.624
GPT-OSS-120B,language,tel_Latn,anchor_only,500,1.0,0,0,0,0.252,0.124,0.624
GPT-OSS-120B,language,tel_Latn,clarification_only,500,1.0,0,0,0,0.252,0.124,0.624
GPT-OSS-120B,language,tel_Latn,full,500,1.0,0,0,0,0.252,0.124,0.624
GPT-OSS-120B,language,tel_Telu,base,500,1.0,0,0,0,0.252,0.124,0.624
GPT-OSS-120B,language,tel_Telu,anchor_only,500,1.0,0,0,0,0.252,0.124,0.624
GPT-OSS-120B,language,tel_Telu,clarification_only,500,1.0,0,0,0,0.252,0.124,0.624
GPT-OSS-120B,language,tel_Telu,full,500,1.0,0,0,0,0.252,0.124,0.624
GPT-OSS-120B,relation,AMBIGUOUS,base,248,0.9879032258064516,0,0,0,0.0,0.9879032258064516,0.0
GPT-OSS-120B,relation,AMBIGUOUS,anchor_only,248,0.9879032258064516,0,0,0,0.0,0.9879032258064516,0.0
GPT-OSS-120B,relation,AMBIGUOUS,clarification_only,248,0.9879032258064516,0,0,0,0.0,0.9879032258064516,0.0
GPT-OSS-120B,relation,AMBIGUOUS,full,248,0.9879032258064516,0,0,0,0.0,0.9879032258064516,0.0
GPT-OSS-120B,relation,BROADER,base,252,0.9920634920634921,2,0,0,0.007936507936507936,0.0,0.9920634920634921
GPT-OSS-120B,relation,BROADER,anchor_only,252,1.0,0,0,0,0.0,0.0,1.0
GPT-OSS-120B,relation,BROADER,clarification_only,252,0.9920634920634921,2,0,0,0.007936507936507936,0.0,0.9920634920634921
GPT-OSS-120B,relation,BROADER,full,252,1.0,0,0,0,0.0,0.0,1.0
GPT-OSS-120B,relation,ENTITY_SHIFT,base,248,0.9959677419354839,0,0,0,0.0,0.0,0.9959677419354839
GPT-OSS-120B,relation,ENTITY_SHIFT,anchor_only,248,0.9959677419354839,0,0,0,0.0,0.0,0.9959677419354839
GPT-OSS-120B,relation,ENTITY_SHIFT,clarification_only,248,0.9959677419354839,0,0,0,0.0,0.0,0.9959677419354839
GPT-OSS-120B,relation,ENTITY_SHIFT,full,248,0.9959677419354839,0,0,0,0.0,0.0,0.9959677419354839
GPT-OSS-120B,relation,EQUIVALENT,base,252,1.0,0,0,0,1.0,0.0,0.0
GPT-OSS-120B,relation,EQUIVALENT,anchor_only,252,1.0,0,0,0,1.0,0.0,0.0
GPT-OSS-120B,relation,EQUIVALENT,clarification_only,252,1.0,0,0,0,1.0,0.0,0.0
GPT-OSS-120B,relation,EQUIVALENT,full,252,1.0,0,0,0,1.0,0.0,0.0
GPT-OSS-120B,relation,NARROWER,base,252,1.0,0,0,0,1.0,0.0,0.0
GPT-OSS-120B,relation,NARROWER,anchor_only,252,1.0,0,0,0,1.0,0.0,0.0
GPT-OSS-120B,relation,NARROWER,clarification_only,252,1.0,0,0,0,1.0,0.0,0.0
GPT-OSS-120B,relation,NARROWER,full,252,1.0,0,0,0,1.0,0.0,0.0
GPT-OSS-120B,relation,NEGATED,base,252,1.0,0,0,0,0.0,0.0,1.0
GPT-OSS-120B,relation,NEGATED,anchor_only,252,1.0,0,0,0,0.0,0.0,1.0
GPT-OSS-120B,relation,NEGATED,clarification_only,252,1.0,0,0,0,0.0,0.0,1.0
GPT-OSS-120B,relation,NEGATED,full,252,1.0,0,0,0,0.0,0.0,1.0
GPT-OSS-120B,relation,TEMPORAL_SHIFT,base,248,1.0,0,0,0,0.0,0.0,1.0
GPT-OSS-120B,relation,TEMPORAL_SHIFT,anchor_only,248,1.0,0,0,0,0.0,0.0,1.0
GPT-OSS-120B,relation,TEMPORAL_SHIFT,clarification_only,248,1.0,0,0,0,0.0,0.0,1.0
GPT-OSS-120B,relation,TEMPORAL_SHIFT,full,248,1.0,0,0,0,0.0,0.0,1.0
GPT-OSS-120B,relation,VALUE_SHIFT,base,248,1.0,0,0,0,0.0,0.0,1.0
GPT-OSS-120B,relation,VALUE_SHIFT,anchor_only,248,1.0,0,0,0,0.0,0.0,1.0
GPT-OSS-120B,relation,VALUE_SHIFT,clarification_only,248,1.0,0,0,0,0.0,0.0,1.0
GPT-OSS-120B,relation,VALUE_SHIFT,full,248,1.0,0,0,0,0.0,0.0,1.0
GPT-OSS-120B,risk,CRITICAL,base,264,1.0,0,0,0,0.22727272727272727,0.13636363636363635,0.6363636363636364
GPT-OSS-120B,risk,CRITICAL,anchor_only,264,1.0,0,0,0,0.22727272727272727,0.13636363636363635,0.6363636363636364
GPT-OSS-120B,risk,CRITICAL,clarification_only,264,1.0,0,0,0,0.22727272727272727,0.13636363636363635,0.6363636363636364
GPT-OSS-120B,risk,CRITICAL,full,264,1.0,0,0,0,0.22727272727272727,0.13636363636363635,0.6363636363636364
GPT-OSS-120B,risk,HIGH,base,588,0.9948979591836735,2,0,0,0.282312925170068,0.10714285714285714,0.608843537414966
GPT-OSS-120B,risk,HIGH,anchor_only,588,0.9982993197278912,0,0,0,0.2789115646258503,0.10714285714285714,0.6122448979591837
GPT-OSS-120B,risk,HIGH,clarification_only,588,0.9948979591836735,2,0,0,0.282312925170068,0.10714285714285714,0.608843537414966
GPT-OSS-120B,risk,HIGH,full,588,0.9982993197278912,0,0,0,0.2789115646258503,0.10714285714285714,0.6122448979591837
GPT-OSS-120B,risk,LOW,base,360,0.9972222222222222,0,0,0,0.24444444444444444,0.07777777777777778,0.675
GPT-OSS-120B,risk,LOW,anchor_only,360,0.9972222222222222,0,0,0,0.24444444444444444,0.07777777777777778,0.675
GPT-OSS-120B,risk,LOW,clarification_only,360,0.9972222222222222,0,0,0,0.24444444444444444,0.07777777777777778,0.675
GPT-OSS-120B,risk,LOW,full,360,0.9972222222222222,0,0,0,0.24444444444444444,0.07777777777777778,0.675
GPT-OSS-120B,risk,MEDIUM,base,788,0.9974619289340102,0,0,0,0.2436548223350254,0.14974619289340102,0.6040609137055838
GPT-OSS-120B,risk,MEDIUM,anchor_only,788,0.9974619289340102,0,0,0,0.2436548223350254,0.14974619289340102,0.6040609137055838
GPT-OSS-120B,risk,MEDIUM,clarification_only,788,0.9974619289340102,0,0,0,0.2436548223350254,0.14974619289340102,0.6040609137055838
GPT-OSS-120B,risk,MEDIUM,full,788,0.9974619289340102,0,0,0,0.2436548223350254,0.14974619289340102,0.6040609137055838
